seed,heldout_condition,model,train_loss,heldout_loss
910006,lagged_Y_to_E,eta_only,64.87168171219409,3.641350837080971
910006,lagged_Y_to_E,zeta_only,30.808544765039198,28.889179096993654
910006,lagged_Y_to_E,generic_hidden_oscillator,50.31224017677588,12.211497421354364
910006,lagged_Y_to_E,null_no_coupling,97.47986860300107,27.61681091259244
910006,lagged_Y_to_E,replay_only_basis,12.990522613609329,18.901842381931978
910007,doublet_EY,full_reciprocal,0.5710012479074067,0.9547906789251964
910007,doublet_EY,eta_only,67.3648411375436,16.467928820420358
910007,doublet_EY,zeta_only,50.953953064911765,11.481199736217079
910007,doublet_EY,generic_hidden_oscillator,65.94405483077196,26.137775729093356
910007,doublet_EY,null_no_coupling,135.07441544588394,6.866198171001444
910007,doublet_EY,replay_only_basis,23.946053543604414,2.1084966151243307
910007,orthogonal_trap,full_reciprocal,1.4147723999118262,0.0650011095593728
910007,orthogonal_trap,eta_only,57.22387716177536,26.325710716594724
910007,orthogonal_trap,zeta_only,49.97862381359873,12.655834206313408
910007,orthogonal_trap,generic_hidden_oscillator,53.85333134706964,27.13463421933777
910007,orthogonal_trap,null_no_coupling,96.40008675317614,45.54052686370923
910007,orthogonal_trap,replay_only_basis,25.42685126003759,5.45605662061138
910007,counterphase,full_reciprocal,1.218621208050851,0.2611523014203483
910007,counterphase,eta_only,76.85972279990997,5.798983029225759
910007,counterphase,zeta_only,51.955217750002085,9.782745141426732
910007,counterphase,generic_hidden_oscillator,62.33684730987111,17.940383056483185
910007,counterphase,null_no_coupling,119.30454189163062,22.63607172525476
910007,counterphase,replay_only_basis,22.208351840540764,2.9790011723965746
910007,lagged_E_to_Y,full_reciprocal,1.4186491428421117,0.10701745627047236
910007,lagged_E_to_Y,eta_only,45.004372057024696,36.998264548642325
910007,lagged_E_to_Y,zeta_only,61.120404259229815,0.5511235592712449
910007,lagged_E_to_Y,generic_hidden_oscillator,63.754464897382924,17.233500669024494
910007,lagged_E_to_Y,null_no_coupling,106.17433878107526,35.766274835810115
910007,lagged_E_to_Y,replay_only_basis,15.028700444423977,17.252252584724893
910007,recovery_probe,full_reciprocal,1.1818464645416205,0.29792704492957855
910007,recovery_probe,eta_only,78.8818792467643,3.1207573589027118
910007,recovery_probe,zeta_only,59.66497841049373,1.9364655372548425
910007,recovery_probe,generic_hidden_oscillator,79.04232910710941,1.2349012592448898
910007,recovery_probe,null_no_coupling,138.43092208136554,3.5096915355198615
910007,recovery_probe,replay_only_basis,23.030829377301217,1.0940808716964754
910007,lagged_Y_to_E,full_reciprocal,1.4126413838689686,0.0671321256022303
910007,lagged_Y_to_E,eta_only,80.15414695452266,5.039130704206968
910007,lagged_Y_to_E,zeta_only,32.65752824691594,28.94391570083264
910007,lagged_Y_to_E,generic_hidden_oscillator,68.59862923062981,11.882424204501062
910007,lagged_Y_to_E,null_no_coupling,114.3187631312954,27.621850485589984
910007,lagged_Y_to_E,replay_only_basis,16.58030275239391,20.655022316569607
910008,doublet_EY,full_reciprocal,1.9806107830575397,0.45291180640013434
910008,doublet_EY,eta_only,52.68498598818798,13.436336635267326
910008,doublet_EY,zeta_only,53.18210747111995,16.60156981091547
910008,doublet_EY,generic_hidden_oscillator,63.96459976169996,16.805693959337585
910008,doublet_EY,null_no_coupling,121.66824862344859,10.658246544782642
910008,doublet_EY,replay_only_basis,23.875106272593584,5.570396920628832
910008,orthogonal_trap,full_reciprocal,1.924523793221393,0.5388909639458211
910008,orthogonal_trap,eta_only,42.97864307929807,23.896550864341993
910008,orthogonal_trap,zeta_only,57.565910803517866,12.873001697829867
910008,orthogonal_trap,generic_hidden_oscillator,47.119359962057125,26.286120178878324
910008,orthogonal_trap,null_no_coupling,89.75630102936685,42.57019413886438
910008,orthogonal_trap,replay_only_basis,25.927513042143723,5.732569116536364
910008,counterphase,full_reciprocal,1.8740871077643297,0.559435481693344
910008,counterphase,eta_only,62.389914001563405,3.5840424280397114
910008,counterphase,zeta_only,58.88830734644341,9.86933753838189
910008,counterphase,generic_hidden_oscillator,58.663189757756044,14.348246753190752
910008,counterphase,null_no_coupling,112.7905528736033,19.53594229462793
910008,counterphase,replay_only_basis,22.10458361332613,4.178987906424189
910008,lagged_E_to_Y,full_reciprocal,2.097214613733511,0.3131101726072505
910008,lagged_E_to_Y,eta_only,37.7218261745554,27.57535010197381
910008,lagged_E_to_Y,zeta_only,67.65216461293026,1.4205862897882042
910008,lagged_E_to_Y,generic_hidden_oscillator,61.095954374150665,11.915482136796127
910008,lagged_E_to_Y,null_no_coupling,105.70368559339047,26.622809574840744
910008,lagged_E_to_Y,replay_only_basis,18.97265115521921,12.388611550453874
910008,recovery_probe,full_reciprocal,2.127520404868582,0.28511383023923575
910008,recovery_probe,eta_only,64.33898204212367,0.9581942344055292
910008,recovery_probe,zeta_only,68.15654185275372,0.5415361939522803
910008,recovery_probe,generic_hidden_oscillator,71.81142954121471,1.1090524022434238
910008,recovery_probe,null_no_coupling,131.28172039174794,1.04477477648327
910008,recovery_probe,replay_only_basis,24.172262678332352,0.29770996934823013
910008,lagged_Y_to_E,full_reciprocal,1.9373950993375293,0.472929687003232
910008,lagged_Y_to_E,eta_only,63.25877139946255,5.187624070918865
910008,lagged_Y_to_E,zeta_only,35.697522950454854,33.00055509625115
910008,lagged_Y_to_E,generic_hidden_oscillator,57.26336518549456,15.74807132545224
910008,lagged_Y_to_E,null_no_coupling,100.43196732959895,31.89452783863227
910008,lagged_Y_to_E,replay_only_basis,15.371500232235654,24.907092152120317
910009,doublet_EY,full_reciprocal,2.8700339557290278,1.6966844924936786
910009,doublet_EY,eta_only,63.132987937632215,23.444154098891538
910009,doublet_EY,zeta_only,61.006739604472386,12.3789220417241
910009,doublet_EY,generic_hidden_oscillator,66.45012353777713,22.054363668928975
910009,doublet_EY,null_no_coupling,139.48654528474748,12.573687423407161
910009,doublet_EY,replay_only_basis,26.95322879989976,4.990050767500464
910009,orthogonal_trap,full_reciprocal,3.0544496389896545,1.4807846888037908
910009,orthogonal_trap,eta_only,62.388866615774475,24.03618214937588
910009,orthogonal_trap,zeta_only,56.796644749897595,16.560840462726937
910009,orthogonal_trap,generic_hidden_oscillator,56.574237320407995,23.56121620557924
910009,orthogonal_trap,null_no_coupling,106.4754023126864,45.584830395468245
910009,orthogonal_trap,replay_only_basis,27.31286404552499,8.785962886437709
910009,counterphase,full_reciprocal,4.104234076933477,0.36856518177266123
910009,counterphase,eta_only,80.07785359811267,4.896966424162135
910009,counterphase,zeta_only,66.3442146113182,6.740609120917147
910009,counterphase,generic_hidden_oscillator,59.85382909985123,18.92701940724115
910009,counterphase,null_no_coupling,130.9941054711749,21.066127236979753
910009,counterphase,replay_only_basis,27.11073350093137,0.7260401389307144
910009,lagged_E_to_Y,full_reciprocal,4.387403229051008,0.0853960296551301
910009,lagged_E_to_Y,eta_only,49.42524796340094,35.38730512493611
910009,lagged_E_to_Y,zeta_only,72.4430920096483,0.6618577465670192
910009,lagged_E_to_Y,generic_hidden_oscillator,63.41975382125288,15.509540629637792
910009,lagged_E_to_Y,null_no_coupling,118.13570447571244,33.9245282324422
910009,lagged_E_to_Y,replay_only_basis,19.71562725929935,15.875308464792145
910009,recovery_probe,full_reciprocal,4.291666486094795,0.16372930478896763
910009,recovery_probe,eta_only,82.55628849902138,2.256264589315693
910009,recovery_probe,zeta_only,70.7211841118459,2.0990285495922425
910009,recovery_probe,generic_hidden_oscillator,78.49582046070033,0.2850280463920463
