condition,time_sec,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor
control,164.75,0.022162826286343338,-0.8439333573129301,-0.7661055319632719,-0.5252172174519006,0.0,0.0,6.665902695361051,-1.2107369708506424,0.0,0.0,0.0,-0.5000000000000573,0.8660254037844056,0.0
control,165.0,0.036969457251607704,-0.846524211787788,-0.8561016689545007,-0.7615675542915153,0.0,0.0,4.500804710249003,-14.793894234211526,0.0,0.0,0.0,-4.8998251578625895e-14,1.0,0.0
control,165.25,0.029922037072048328,-0.9328710172260901,-0.9418345047992368,-0.6374344894003905,0.0,0.0,4.571529810846738,0.47361082316117137,0.0,0.0,0.0,0.4999999999999724,0.8660254037844546,0.0
control,165.5,0.011235361929400651,-0.7529763290263025,-0.7236989324959788,-0.9032936981528793,0.0,0.0,5.208044624468071,4.337153229627991,0.0,0.0,0.0,0.8660254037844313,0.5000000000000128,0.0
control,165.75,-0.012147469073271504,-0.7295990615164524,-0.7277234108329934,-0.7946150493994038,0.0,0.0,4.723440764128269,-3.3184994622229658,0.0,0.0,0.0,1.0,5.4388554436784013e-14,0.0
control,166.0,-0.030070979105843026,-0.7478200052153269,-0.7676390426152991,-0.04045189766800847,0.0,0.0,4.44865645822749,-1.8857290748841502,0.0,0.0,0.0,0.8660254037844572,-0.49999999999996775,0.0
control,166.25,-0.03614627786426188,-1.0222070046075495,-0.9899030257476057,2.272220178749062,0.0,0.0,4.762426404116563,2.133262889718072,0.0,1.0,0.0,0.5000000000000174,-0.8660254037844286,0.0
control,166.5,-0.039636418061107306,-0.9425635342920176,-0.9127219509037968,1.0759349315370264,0.0,0.0,5.37736873018726,4.18984369298149,1.0,0.0,9.0,5.977885729494213e-14,-1.0,0.0
control,166.75,-0.039428912813837494,-0.7107799788002769,-0.7140198495201452,-0.606807924062697,0.0,0.0,5.493974953440821,0.7869139090193188,1.0,0.0,9.0,-0.4999999999999631,-0.8660254037844599,0.0
control,167.0,-1.0803185430392652,0.4587586755339646,0.18417237108914664,11.696410445285784,1.0,1.0,5.0557259809020545,-3.001961231421227,1.0,0.0,9.0,-0.8660254037844259,-0.5000000000000221,0.0
control,167.25,-1.2886991093552385,-0.35446958433313175,-0.44696295467133773,3.5369541094374943,0.0,0.0,4.690230203658731,-2.5051599486128544,0.0,0.0,0.0,-1.0,-6.516916015310025e-14,0.0
control,167.5,-0.8431968610147356,-0.10295827984107397,-0.08162545926524767,2.902974293252417,0.0,0.0,4.500967054815006,-1.3017406966326437,0.0,0.0,0.0,-0.8660254037844627,0.4999999999999584,0.0
control,167.75,-0.44063684038235085,-0.4249842328610517,-0.4083515777362098,3.6589964555534413,0.0,0.0,4.095355198255208,-2.7790959535502915,0.0,0.0,0.0,-0.5000000000000268,0.8660254037844233,0.0
control,168.0,-0.2514244270747637,-0.12700464206590764,-0.1425787450425716,1.9738993116780366,0.0,0.0,3.837120137748005,-1.7727211677035586,0.0,0.0,0.0,-1.3716044150450356e-14,1.0,0.0
control,168.25,-0.16396027674579494,0.0905305799275167,0.09085149931404209,-0.39588206761622186,0.0,0.0,4.015304464002534,1.207405138848549,0.0,0.0,0.0,0.49999999999995376,0.8660254037844654,0.0
control,168.5,-0.12755947409700902,-0.5085258843954551,-0.4588060300708242,-0.5606569764924193,0.0,0.0,3.913655525115764,-0.7034597314860307,0.0,0.0,0.0,0.8660254037844205,0.5000000000000314,0.0
control,168.75,-0.11523414603095083,0.26591526289409706,0.2949314165008701,-0.23927804317508297,0.0,0.0,3.6261143212660447,-1.9728406201565283,0.0,0.0,0.0,1.0,1.9106347008608474e-14,0.0
control,169.0,-0.10475709147840087,-0.1207695622748983,-0.06199625681886245,-0.1379932097706868,0.0,0.0,3.0412095543124686,-4.003412597243539,0.0,0.0,0.0,0.866025403784468,-0.4999999999999491,0.0
control,169.25,-0.10540504536128864,-0.17195604678225582,-0.11721125919385589,0.03523008503339612,0.0,0.0,2.4844479362607235,-3.811234749660091,0.0,1.0,0.0,0.5000000000000361,-0.8660254037844178,0.0
control,169.5,-0.10352157222428945,-0.44504985556989185,-0.4338778951480848,0.5703389304222664,0.0,0.0,2.862231581656613,2.5703857941231862,1.0,0.0,9.0,2.4496649866766593e-14,-1.0,0.0
control,169.75,-0.10205652924650956,0.19082270955019048,0.21563052037721367,-0.8412676091120646,0.0,0.0,3.4411179083716807,3.9436322838458073,1.0,0.0,9.0,-0.49999999999994443,-0.8660254037844708,0.0
control,170.0,-0.10465159117291062,-0.08700883756501783,-0.05295266375647173,-0.16516040397272175,0.0,0.0,3.1497621012041357,-1.9988889581574225,1.0,0.0,9.0,-0.8660254037844152,-0.5000000000000407,0.0
control,170.25,-0.09201049517855847,0.06398631987753728,0.16503253533846685,0.03906291346533497,0.0,0.0,2.54042580882181,-4.170245313314343,0.0,0.0,0.0,-1.0,-2.988695272492471e-14,0.0
control,170.5,-0.0886695080638693,-0.07409028813459673,0.014679119731795746,-0.31296776660818376,0.0,0.0,1.9917668309921512,-3.7559051927915497,0.0,0.0,0.0,-0.866025403784445,0.49999999999998895,0.0
control,170.75,-0.09145485022831643,-0.23104570132755706,-0.2350710965485753,0.04537111688298073,0.0,0.0,1.7624323731732408,-1.5753709835477496,0.0,0.0,0.0,-0.5000000000000454,0.8660254037844124,0.0
control,171.0,-0.04357759112361018,-0.18149741515432108,-0.1387813578683639,-0.802722606586299,0.0,0.0,1.2442376917601556,-3.5478771951462487,0.0,0.0,0.0,-3.527725558308283e-14,1.0,0.0
control,171.25,0.2551164132706668,0.3299747522273266,0.35522866521531077,2.268839254387469,0.0,0.0,-0.07258339419293844,-9.001364435794885,0.0,0.0,0.0,0.4999999999999843,0.8660254037844477,0.0
control,171.5,0.6535423175020744,1.250274683894032,1.3496291267572598,1.7019476577067838,0.0,0.0,-0.8009236327713789,-4.9828737193850765,0.0,0.0,0.0,0.8660254037844097,0.5000000000000501,0.0
control,171.75,0.6567199942534826,1.528018499838913,1.5576716761225537,-0.9708074039474429,0.0,0.0,-0.5109118750844908,1.9710281132506335,0.0,0.0,0.0,1.0,4.066755844124095e-14,0.0
control,172.0,0.6626702830919011,1.5944375475516157,1.573739642244561,-0.8116251374558151,0.0,0.0,-0.19178399026668688,2.1698500241001866,0.0,0.0,0.0,0.8660254037844504,-0.4999999999999796,0.0
control,172.25,0.70506197354607,1.610144724653307,1.6329608356938792,0.1910371302026527,0.0,0.0,-0.30836891844905506,-0.8054513843877726,0.0,1.0,0.0,0.5000000000000547,-0.8660254037844071,0.0
control,172.5,0.6912374772937004,0.8477660469779453,0.8784840939401182,0.0798427699089325,0.0,0.0,-0.2216180119777555,0.5830443797725839,1.0,0.0,2.0,4.605786129939907e-14,-1.0,0.0
control,172.75,0.6768960721233532,1.2415058284983764,1.2990226989303155,-0.8007033762642539,0.0,0.0,-0.040420646188695585,1.2279799314721436,1.0,0.0,2.0,-0.49999999999997496,-0.8660254037844531,0.0
control,173.0,0.6720854468298372,1.7400242479013832,1.6517105984696225,-0.45135810558745043,0.0,1.0,0.007439580971810931,0.3174761213279776,1.0,0.0,2.0,-0.8660254037844328,-0.5000000000000102,0.0
control,173.25,0.7035096007287757,2.004010920836377,1.9856887580883644,-0.375368000376409,0.0,0.0,0.010990683258303859,0.014907553883830806,0.0,0.0,0.0,-1.0,-5.144816415755719e-14,0.0
control,173.5,0.7060654097959427,1.1706002098476107,1.258788421057844,-0.8067245974052784,0.0,0.0,-0.11462828822349219,-0.8671411051193002,0.0,0.0,0.0,-0.8660254037844558,0.4999999999999703,0.0
control,173.75,0.7114684581229123,1.4922901499756502,1.5677559382907909,-1.023661320607169,0.0,0.0,-0.19934915616523866,-0.5878649823233708,0.0,0.0,0.0,-0.5000000000000149,0.86602540378443,0.0
control,174.0,0.7194819391142998,1.2609410727568535,1.2770794025564547,-1.18486417360525,0.0,0.0,-0.10725716674180447,0.6195164117078277,0.0,0.0,0.0,-5.683846701571531e-14,1.0,0.0
control,174.25,0.7279148529575162,1.1398146752791232,1.1843564632823005,-1.2527933093000416,0.0,0.0,-0.2311999878200703,-0.8556953718113401,0.0,0.0,0.0,0.49999999999996564,0.8660254037844585,0.0
control,174.5,0.7442098403558823,1.2895443546711014,1.351742207312899,-1.0894028693448867,0.0,0.0,-0.3488510597588704,-0.8127316362544101,0.0,0.0,0.0,0.8660254037844274,0.5000000000000195,0.0
control,174.75,0.7512705655278474,1.6776854733236524,1.6459115159839848,-0.9393558554318701,0.0,0.0,-0.2219739101230277,0.8570497893971761,0.0,0.0,0.0,1.0,6.222876987387343e-14,0.0
control,175.0,0.7562184176844651,1.511413128950012,1.5671798101826482,-0.9595060017871724,0.0,0.0,-0.11691104984032949,0.7080890889057975,0.0,0.0,0.0,0.8660254037844611,-0.499999999999961,0.0
control,175.25,0.7532360231301719,1.6084458288976364,1.665381227073848,-0.685770078977653,0.0,0.0,0.12424875811588533,1.6374384860826166,0.0,1.0,0.0,0.5000000000000242,-0.8660254037844247,0.0
control,175.5,0.7483794208298828,1.1618036814493393,1.1915224261800945,-0.7327053105139145,0.0,0.0,0.1602341399380944,0.236387746126583,1.0,0.0,9.0,6.761907273203155e-14,-1.0,0.0
control,175.75,0.734904447456595,1.2259903063587407,1.221892849477402,-0.6747378980336938,0.0,0.0,-0.06242059361388112,-1.5297579273631607,1.0,0.0,9.0,-0.4999999999999563,-0.8660254037844639,0.0
control,176.0,0.7355996819886721,1.4705013276262267,1.5466328594588887,-0.5551718175587753,0.0,0.0,-0.20428604833792163,-0.9780815756112866,1.0,0.0,9.0,-0.866025403784422,-0.5000000000000289,0.0
control,176.25,0.7311775182753939,1.4903867154779358,1.519780685288134,-0.5154506689899979,0.0,0.0,-0.16693643935332686,0.24570348547745247,0.0,0.0,0.0,-1.0,-1.616595672938165e-14,0.0
control,176.5,0.7318367257495451,1.4617545655726745,1.4576894554999917,-1.1456353043571996,0.0,0.0,0.05005110022052935,1.4723761284503838,0.0,0.0,0.0,-0.8660254037844666,0.4999999999999516,0.0
control,176.75,0.7387310447092889,1.0798322616496714,1.1521917485785031,-1.1120401901997905,0.0,0.0,0.021056742401693317,-0.20733184418325268,0.0,0.0,0.0,-0.5000000000000335,0.8660254037844193,0.0
control,177.0,0.7487458995818563,1.3131388992031385,1.364614142415404,-0.537553589775323,0.0,0.0,-0.10054249261829068,-0.8396919982770484,0.0,0.0,0.0,-2.1556259587539768e-14,1.0,0.0
control,177.25,0.38214017718218146,1.272753362024681,1.3734370508375702,1.641380015124723,0.0,0.0,-0.2157627269501786,-0.7961324582181921,0.0,0.0,0.0,0.49999999999994693,0.8660254037844692,0.0
control,177.5,-0.14224829194717234,0.11060108377402135,0.11895043867027395,5.6756136008149465,0.0,0.0,-0.3000843026438935,-0.5851383817908173,0.0,0.0,0.0,0.8660254037844166,0.5000000000000382,0.0
control,177.75,-0.3931275568252803,-0.4997197907431401,-0.4831079186452066,1.2411332063059284,0.0,0.0,-0.17236514333749547,0.862799522900567,0.0,0.0,0.0,1.0,2.6946562445697887e-14,0.0
control,178.0,-0.457458608960165,-0.3265174795887736,-0.3182481298769918,-1.0165661314526708,0.0,0.0,-0.1235096281275909,0.3242725290692024,0.0,0.0,0.0,0.866025403784472,-0.49999999999994227,0.0
control,178.25,-0.4581743928677414,-0.3484747015744243,-0.32219621146969735,-1.1517758190607967,0.0,0.0,-0.031413834564346245,0.6195423885948929,0.0,1.0,0.0,0.5000000000000429,-0.866025403784414,0.0
control,178.5,-0.45456511617198536,-0.42223783715653995,-0.3937473083891585,-0.33630908278220273,0.0,0.0,-0.0006251014026471189,0.20090199583944096,1.0,0.0,1.0,3.2336865303856006e-14,-1.0,0.0
control,178.75,-0.4509266949230999,-0.3152218545030365,-0.2912731677127738,-0.5395791788150595,0.0,0.0,-0.1390539806940477,-0.9546146326616316,1.0,0.0,1.0,-0.49999999999998684,-0.8660254037844463,0.0
control,179.0,-0.4476475287786645,-0.4987348001451561,-0.48875004371004277,-1.4529876815536358,0.0,0.0,-0.25819664974926104,-0.8229171319959807,1.0,0.0,1.0,-0.8660254037844112,-0.5000000000000475,0.0
control,179.25,-0.43637358285418754,-0.3271828331467521,-0.32658555625930924,-1.1904924051888166,0.0,0.0,-0.3684050595544047,-0.7619087949964483,0.0,0.0,0.0,-1.0,-3.7727168162014125e-14,0.0
control,179.5,-0.45898406857044644,-0.3220171453641751,-0.3044609409974634,-0.5135944396538813,0.0,0.0,-0.40152112620633207,-0.23547727789687836,0.0,0.0,0.0,-0.8660254037844489,0.4999999999999822,0.0
control,179.75,-0.4758825273682047,-0.2469566194792545,-0.24925548298817934,-1.1330036141979287,0.0,0.0,-0.24623396624978722,1.0510499225130896,0.0,0.0,0.0,-0.5000000000000522,0.8660254037844085,0.0
control,180.0,-0.48198425772872666,-0.374780454884203,-0.3553898027884014,-1.5187521839132616,0.0,0.0,-0.10518947137271874,0.9537926920456176,0.0,0.0,0.0,-4.3117471020172244e-14,1.0,0.0
control,180.25,-0.48327880447420485,-0.42224821730226525,-0.41451088705756167,-1.2886485890523673,0.0,0.0,-0.12431919207488133,-0.13997034405805553,0.0,0.0,0.0,0.4999999999999775,0.8660254037844516,0.0
control,180.5,-0.48641407982636753,-0.5448019725585765,-0.5201369721305139,-1.2159240498485961,0.0,0.0,0.2199446645006271,2.3414931108835497,0.0,0.0,0.0,0.8660254037844058,0.5000000000000568,0.0
control,180.75,-0.4890126574259787,-0.4595300317175295,-0.452572242195196,-1.4156037604014524,0.0,0.0,0.4663299369159744,1.673121007462254,0.0,0.0,0.0,1.0,4.850777387833036e-14,0.0
control,181.0,-0.48959271368053786,-0.41819243469169887,-0.4170553382905061,-1.2520778195275166,0.0,0.0,0.27643763118247233,-1.3060369471087867,0.0,0.0,0.0,0.8660254037844544,-0.49999999999997286,0.0
control,181.25,-0.48692992469717333,-0.32320064196452125,-0.3148901633517768,-1.2476745249902395,0.0,0.0,0.2581942341269546,-0.13391800886028968,0.0,1.0,0.0,0.5000000000000123,-0.8660254037844315,0.0
control,181.5,-0.46975751778024855,-0.5161670205043188,-0.49941754834749114,-0.5321565102191196,0.0,0.0,0.36415296639136074,0.7142066257086446,1.0,0.0,10.0,5.389807673648848e-14,-1.0,0.0
control,181.75,-0.5052345813407356,-0.5703209529848298,-0.555726029976522,-0.16137221134159743,0.0,0.0,0.23184374267540533,-0.9128260524091707,1.0,0.0,10.0,-0.4999999999999682,-0.866025403784457,0.0
control,182.0,-0.4904373029694881,-0.7389148673594503,-0.729876922204075,-1.402495381721495,0.0,0.0,0.07239946498563887,-1.098120039408917,1.0,0.0,10.0,-0.8660254037844288,-0.500000000000017,0.0
control,182.25,-0.48525454251626865,-0.8936206104868452,-0.8801540453434513,0.26779954169395537,0.0,0.0,0.11066103131186535,0.25193086250672664,0.0,0.0,0.0,-1.0,-5.928837959464661e-14,0.0
control,182.5,-0.4601586334874945,-1.0476728978777436,-1.0429786880887255,-1.0114135428490993,0.0,0.0,0.010587012625121746,-0.6927052570946796,0.0,0.0,0.0,-0.8660254037844597,0.49999999999996353,0.0
control,182.75,-0.4759005140545415,-0.8519631835834736,-0.841802184001367,0.998365539868765,0.0,0.0,-0.03753954120842348,-0.3379776458480513,0.0,0.0,0.0,-0.5000000000000216,0.8660254037844262,0.0
control,183.0,-0.543997510907014,-0.6731689446588797,-0.6603953685455096,-0.4584994846730294,0.0,0.0,-0.05004221293698217,-0.09471698552238494,0.0,0.0,0.0,-6.467868245280473e-14,1.0,0.0
control,183.25,-0.5377140459195429,-0.5246767758289478,-0.509646143919916,-1.020568480239254,0.0,0.0,-0.016086714998867258,0.22252651414254676,0.0,0.0,0.0,0.4999999999999588,0.8660254037844624,0.0
control,183.5,-0.5575318625720569,-0.47780038746364495,-0.45854966923274426,-0.5493542032054661,0.0,0.0,-0.041382862312062035,-0.1820783042413023,0.0,0.0,0.0,0.8660254037844235,0.5000000000000263,0.0
control,183.75,-0.5694523665631365,-0.7453865709934986,-0.7351863157461643,-0.8695800000544355,0.0,0.0,-0.09981278815855826,-0.4083350839303149,0.0,0.0,0.0,1.0,7.006898531096285e-14,0.0
control,184.0,-0.5779223331648491,-0.6518302514921431,-0.6364740840687488,-1.4309726901331665,0.0,0.0,0.01872620615026513,0.800111997924282,0.0,0.0,0.0,0.8660254037844651,-0.49999999999995415,0.0
control,184.25,-0.585812741165671,-0.7079741800643032,-0.6992385731192534,-1.180717434254074,0.0,0.0,0.08957101238683798,0.474428243134173,0.0,1.0,0.0,0.500000000000031,-0.8660254037844207,0.0
control,184.5,-0.4873796603115204,-0.5618806253778967,-0.5621204142454932,1.012409126496784,0.0,0.0,0.06771556175952989,-0.15858321896894312,1.0,0.0,6.0,1.8615869308312946e-14,-1.0,0.0
control,184.75,-0.4340671624703706,-0.1783600327470751,-0.18591160452982192,-1.044522353504312,0.0,0.0,-0.09997149134418233,-1.1544065211630192,1.0,0.0,6.0,-0.4999999999999495,-0.8660254037844678,0.0
control,185.0,-0.42519860524674286,-0.2631788324517279,-0.2626676291605759,-1.1907410389999564,0.0,0.0,0.021000727753629912,0.8167274770330946,1.0,0.0,6.0,-0.8660254037844181,-0.5000000000000356,0.0
control,185.25,-0.42819669123025694,-0.2547860466234235,-0.23539911227416135,-0.8113992914791465,0.0,0.0,0.19290941580509793,1.1645514181691918,0.0,0.0,0.0,-1.0,-2.4006172166471065e-14,0.0
control,185.5,-0.4678208513742242,-0.47787263421999304,-0.45566280681639626,-0.975628465650821,0.0,0.0,0.10927683424968829,-0.580433527655305,0.0,0.0,0.0,-0.8660254037844705,0.4999999999999448,0.0
control,185.75,-0.471882169451249,-0.6504481852042304,-0.6360258363477744,-1.270842299956529,0.0,0.0,0.0338804349084872,-0.5241920681173947,0.0,0.0,0.0,-0.5000000000000403,0.8660254037844154,0.0
control,186.0,-0.4724709891824075,-0.5895421040164142,-0.5786631162997333,-0.6045508718445876,0.0,0.0,0.11537212531735087,0.5471313827451088,0.0,0.0,0.0,-2.939647502462918e-14,1.0,0.0
control,186.25,-0.46744708605789603,-0.6565134455353816,-0.6411545190603396,-1.0556365288219678,0.0,0.0,0.25542078047780664,0.9469925171986482,0.0,0.0,0.0,0.49999999999994016,0.8660254037844732,0.0
control,186.5,-0.4521087970776545,-0.6510457419900347,-0.6299573665049469,-0.7452908432053251,0.0,0.0,0.01788582351349473,-1.6313687782639867,0.0,0.0,0.0,0.8660254037844127,0.500000000000045,0.0
control,186.75,-0.43750483897778397,-0.45103887851524577,-0.42433743436220844,-0.3968026675920015,0.0,0.0,-0.14057679254001496,-1.0914166807702255,0.0,0.0,0.0,1.0,3.47867778827873e-14,0.0
control,187.0,-0.42948599840976454,-0.4272667170372608,-0.39656913191713505,-0.3190455242295424,0.0,0.0,-0.09549159116364765,0.2985266255183684,0.0,0.0,0.0,0.8660254037844475,-0.49999999999998473,0.0
control,187.25,-0.4474321754023697,-0.5601240188971541,-0.5496390488655902,0.6411142325631184,0.0,0.0,-0.04101237234436323,0.36267445981504015,0.0,1.0,0.0,0.5000000000000496,-0.86602540378441,0.0
control,187.5,-0.33144885445068745,-0.8226001452185966,-0.8149758403624363,0.2747738548140238,0.0,0.0,0.14198130865629002,1.2402462202285862,1.0,0.0,3.0,4.017708074094542e-14,-1.0,0.0
control,187.75,-0.3152268475936543,-0.5148518328989723,-0.4879277014226624,0.16278362800961066,0.0,0.0,0.15141872251932773,0.05510272511118159,1.0,0.0,3.0,-0.49999999999998007,-0.8660254037844501,0.0
control,188.0,-0.3808387689514803,-0.3416423238446595,-0.32241583219975634,-0.3907657550740406,0.0,0.0,-0.07057138487871843,-1.5252194720483219,1.0,0.0,3.0,-0.8660254037844073,-0.5000000000000543,0.0
control,188.25,-0.38243885431431185,-0.259454083201023,-0.2494402738824335,-0.4835462709933645,0.0,0.0,-0.09932898283469564,-0.2057151096452279,0.0,0.0,0.0,-1.0,-4.556738359910354e-14,0.0
control,188.5,-0.38365470786904565,-0.26974354592270855,-0.28070573212824446,-1.2511127022342492,0.0,0.0,-0.011880595825594434,0.5878071839972862,0.0,0.0,0.0,-0.8660254037844528,0.4999999999999754,0.0
control,188.75,-0.3808259641691839,-0.5132134163926766,-0.49562619194494906,-1.4985868501822146,0.0,0.0,0.03153763115656783,0.2871435513580277,0.0,0.0,0.0,-0.500000000000059,0.8660254037844046,0.0
control,189.0,-0.3842768553414529,-0.3636512078556568,-0.36003776522781655,-0.8960175288459055,0.0,0.0,0.04006792174553449,0.04890835791680976,0.0,0.0,0.0,-5.095768645726166e-14,1.0,0.0
control,189.25,-0.38749910149532124,-0.05808443347490829,-0.06311269908238416,-1.0895568834377778,0.0,0.0,0.051182934292645275,0.06655834812403585,0.0,0.0,0.0,0.4999999999999707,0.8660254037844556,0.0
control,189.5,-0.4975668871332769,-0.4996243559875219,-0.4797014347417293,1.0392512853939155,0.0,0.0,0.07396787584458103,0.14624743499281362,0.0,0.0,0.0,0.8660254037844304,0.5000000000000144,0.0
control,189.75,-0.5479496492511478,-0.7741370150396394,-0.765362057397709,-1.157971272342807,0.0,0.0,0.0014701466391478797,-0.5043982565048615,0.0,0.0,0.0,1.0,5.6347989315419776e-14,0.0
