generator,trial,seed,K_true_scaled,eta_hat,zeta_hat,eta_zeta_product,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated,K_within_15_positive,K_within_10_positive,full_cv_wins,full_cv_win_rate,full_prediction_win,full_and_K_lock,non_full_cv_win_rate,cv_winner_counts_json
full_reciprocal_positive_control,12,930012,1.0,0.6051028030704303,0.8519303607261808,0.5155054492962148,1.0256958308091215,0.1,0.2598615190573095,0.25200573564182177,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,13,930013,1.0,0.5307431419823161,0.8650434105911472,0.4591158576882442,0.9679726949347662,0.1,0.34092526063689876,0.29204194393772587,True,True,True,3,0.5,False,False,0.5,"{""colored_noise_ar"": 1, ""eta_only"": 2, ""full_reciprocal"": 3}"
full_reciprocal_positive_control,14,930014,1.0,0.6590049024874869,0.8450047062911739,0.5568622440708825,1.066045758552761,0.1,0.2858298300967114,0.18204047100005727,True,True,True,3,0.5,False,False,0.5,"{""eta_only"": 2, ""full_reciprocal"": 3, ""zeta_only"": 1}"
full_reciprocal_positive_control,15,930015,1.0,0.6168610842765667,0.8475079801384765,0.5227946915612636,1.0329220406021755,0.1,0.2785320976968943,0.2547457639343674,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,16,930016,1.0,0.5871922381222782,0.8567962278667696,0.5031040946558138,1.0132833021016323,0.1,0.3154781288104699,0.23933101131138967,True,True,True,2,0.3333333333333333,False,False,0.6666666666666667,"{""eta_only"": 3, ""full_reciprocal"": 2, ""zeta_only"": 1}"
full_reciprocal_positive_control,17,930017,1.0,0.6314995736262925,0.8669964047560236,0.5475078599389575,1.0570539151184581,0.1,0.32619185530679123,0.19754782624623796,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,18,930018,1.0,0.5835334215059098,0.8126295492564312,0.47419650129441054,0.9837418166497386,0.1,0.25188129923459096,0.20488680738881426,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,19,930019,1.0,0.5775120713385491,0.857601643297225,0.49527530140392395,1.0053685499519556,0.1,0.24874430989702373,0.2323762515183189,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
full_reciprocal_positive_control,20,930020,1.0,0.6270236395706361,0.8525243444764222,0.534552917296177,1.0444732265657202,0.1,0.33101202111536665,0.28726018363898453,True,True,True,4,0.6666666666666666,True,True,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
standard_ping_null,1,940001,0.0,-0.0005382873830043418,-0.3392360841811408,0.00018260650397450688,0.019304567714451697,0.7,0.0803945527356731,0.051149663262529316,False,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 3, ""full_reciprocal"": 1, ""standard_ping"": 2}"
