generator,trial,seed,fold_condition,winning_model
sensory_drive_only_null,4,960004,doublet_EY,sensory_drive_only
sensory_drive_only_null,4,960004,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,4,960004,counterphase,sensory_drive_only
sensory_drive_only_null,4,960004,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,4,960004,recovery_probe,generic_hidden_tuned
sensory_drive_only_null,4,960004,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,5,960005,doublet_EY,sensory_drive_only
sensory_drive_only_null,5,960005,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,5,960005,counterphase,sensory_drive_only
sensory_drive_only_null,5,960005,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,5,960005,recovery_probe,sensory_drive_only
sensory_drive_only_null,5,960005,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,6,960006,doublet_EY,sensory_drive_only
sensory_drive_only_null,6,960006,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,6,960006,counterphase,sensory_drive_only
sensory_drive_only_null,6,960006,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,6,960006,recovery_probe,sensory_drive_only
sensory_drive_only_null,6,960006,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,7,960007,doublet_EY,sensory_drive_only
sensory_drive_only_null,7,960007,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,7,960007,counterphase,sensory_drive_only
sensory_drive_only_null,7,960007,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,7,960007,recovery_probe,sensory_drive_only
sensory_drive_only_null,7,960007,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,8,960008,doublet_EY,sensory_drive_only
sensory_drive_only_null,8,960008,orthogonal_trap,colored_noise_ar
sensory_drive_only_null,8,960008,counterphase,sensory_drive_only
sensory_drive_only_null,8,960008,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,8,960008,recovery_probe,sensory_drive_only
sensory_drive_only_null,8,960008,lagged_Y_to_E,zeta_only
sensory_drive_only_null,9,960009,doublet_EY,sensory_drive_only
sensory_drive_only_null,9,960009,orthogonal_trap,standard_ping
sensory_drive_only_null,9,960009,counterphase,sensory_drive_only
sensory_drive_only_null,9,960009,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,9,960009,recovery_probe,sensory_drive_only
sensory_drive_only_null,9,960009,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,10,960010,doublet_EY,sensory_drive_only
sensory_drive_only_null,10,960010,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,10,960010,counterphase,sensory_drive_only
sensory_drive_only_null,10,960010,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,10,960010,recovery_probe,sensory_drive_only
sensory_drive_only_null,10,960010,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,11,960011,doublet_EY,sensory_drive_only
sensory_drive_only_null,11,960011,orthogonal_trap,colored_noise_ar
sensory_drive_only_null,11,960011,counterphase,sensory_drive_only
sensory_drive_only_null,11,960011,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,11,960011,recovery_probe,generic_hidden_tuned
sensory_drive_only_null,11,960011,lagged_Y_to_E,standard_ping
sensory_drive_only_null,12,960012,doublet_EY,sensory_drive_only
sensory_drive_only_null,12,960012,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,12,960012,counterphase,sensory_drive_only
sensory_drive_only_null,12,960012,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,12,960012,recovery_probe,sensory_drive_only
sensory_drive_only_null,12,960012,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,13,960013,doublet_EY,sensory_drive_only
sensory_drive_only_null,13,960013,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,13,960013,counterphase,sensory_drive_only
sensory_drive_only_null,13,960013,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,13,960013,recovery_probe,sensory_drive_only
sensory_drive_only_null,13,960013,lagged_Y_to_E,standard_ping
sensory_drive_only_null,14,960014,doublet_EY,sensory_drive_only
sensory_drive_only_null,14,960014,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,14,960014,counterphase,sensory_drive_only
sensory_drive_only_null,14,960014,lagged_E_to_Y,colored_noise_ar
sensory_drive_only_null,14,960014,recovery_probe,generic_hidden_tuned
sensory_drive_only_null,14,960014,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,15,960015,doublet_EY,sensory_drive_only
sensory_drive_only_null,15,960015,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,15,960015,counterphase,sensory_drive_only
sensory_drive_only_null,15,960015,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,15,960015,recovery_probe,sensory_drive_only
sensory_drive_only_null,15,960015,lagged_Y_to_E,standard_ping
sensory_drive_only_null,16,960016,doublet_EY,sensory_drive_only
sensory_drive_only_null,16,960016,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,16,960016,counterphase,sensory_drive_only
sensory_drive_only_null,16,960016,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,16,960016,recovery_probe,sensory_drive_only
sensory_drive_only_null,16,960016,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,17,960017,doublet_EY,sensory_drive_only
sensory_drive_only_null,17,960017,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,17,960017,counterphase,sensory_drive_only
sensory_drive_only_null,17,960017,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,17,960017,recovery_probe,sensory_drive_only
sensory_drive_only_null,17,960017,lagged_Y_to_E,sensory_drive_only
