time_sec,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz
73.0,0.0,0.0,0.0,0.0,0.8660254037844499,-0.49999999999998046,0.3333333333333333
73.25,0.0,1.0,0.0,0.0,0.5000000000000047,-0.8660254037844359,0.3333333333333333
73.5,1.0,0.0,3.0,24.0,1.6658910352223535e-14,-1.0,0.3333333333333333
73.75,1.0,0.0,3.0,24.0,-0.4999999999999758,-0.8660254037844526,0.3333333333333333
74.0,1.0,0.0,3.0,24.0,-0.8660254037844333,-0.5000000000000093,0.3333333333333333
74.25,0.0,0.0,0.0,0.0,-1.0,-2.2049213210381653e-14,0.3333333333333333
74.5,0.0,0.0,0.0,0.0,-0.866025403784441,0.4999999999999958,0.3333333333333333
74.75,0.0,0.0,0.0,0.0,-0.500000000000014,0.8660254037844306,0.3333333333333333
75.0,0.0,0.0,0.0,0.0,-2.7439516068539772e-14,1.0,0.3333333333333333
75.25,0.0,0.0,0.0,0.0,0.4999999999999911,0.8660254037844438,0.3333333333333333
75.5,0.0,0.0,0.0,0.0,0.8660254037844278,0.5000000000000187,0.3333333333333333
75.75,0.0,0.0,0.0,0.0,1.0,4.408109496293883e-15,0.3333333333333333
76.0,0.0,0.0,0.0,0.0,0.8660254037844465,-0.4999999999999864,0.3333333333333333
76.25,0.0,1.0,0.0,0.0,0.5000000000000233,-0.8660254037844252,0.3333333333333333
76.5,1.0,0.0,5.0,25.0,9.798412354452001e-15,-1.0,0.3333333333333333
76.75,1.0,0.0,5.0,25.0,-0.49999999999998174,-0.8660254037844491,0.3333333333333333
77.0,1.0,0.0,5.0,25.0,-0.8660254037844367,-0.5000000000000034,0.3333333333333333
77.25,0.0,0.0,0.0,0.0,-1.0,-1.5188715212610122e-14,0.3333333333333333
77.5,0.0,0.0,0.0,0.0,-0.8660254037844519,0.4999999999999771,0.3333333333333333
77.75,0.0,0.0,0.0,0.0,-0.5000000000000081,0.866025403784434,0.3333333333333333
78.0,0.0,0.0,0.0,0.0,-2.057901807076824e-14,1.0,0.3333333333333333
78.25,0.0,0.0,0.0,0.0,0.4999999999999724,0.8660254037844546,0.3333333333333333
78.5,0.0,0.0,0.0,0.0,0.8660254037844313,0.5000000000000128,0.3333333333333333
78.75,0.0,0.0,0.0,0.0,1.0,2.596932092892636e-14,0.3333333333333333
