condition,cue_index,value,cue_start_sec,cue_start_lsl,content_start_sec,pre_taskgamma,rec_taskgamma,pre_tasktheta,upd_tasktheta,maint_tasktheta,rec_visualgamma,upd_visualgamma,maint_visualgamma,fp1_hf,artifact_hf,DR_gamma,WMU_theta,MAINT_theta,visual_search_upd,visual_search_maint,contrast_pre_badge_0_1,DR_gamma_z,WMU_theta_z,MAINT_theta_z,visual_search_upd_z,visual_search_maint_z,fp1_hf_z,artifact_hf_z,artifact_score,OCM_score,OCM_event_vs_target_control_null,prior_sum,new_sum,prior_units,carry_required,high_carry_load,hard9_pattern,large_sum_load,large_sum_load_z,carry_required_z,high_carry_load_z,hard9_pattern_z,arithmetic_compute_load,compute_stall_score,cue_visibility_burden,squint_proxy,latent_guess_risk
CONTEXTUAL_OVERRIDE_1,49,3,148.234568,2572.4565559,147.0,1.0827402973221243,0.7813770601147866,2.835747184643046,2.7267978751952096,10.143245163620103,0.9892201441820831,1.2286554886543724,1.4198666321840683,0.9780139227443955,0.9677435692981041,-0.3013632372073377,-0.10894930944783665,7.307497978977056,0.2394353444722892,0.43064648800198513,0.9999567668087773,-1.5716821462145063,-0.20732869449983912,6.9013995714785485,1.120683482476247,1.6217194865291897,0.5382015416336248,0.06587063728767194,0.30203608946064836,0.6082683601178419,False,265,268,5,0,0,0,5.583496308781699,-0.01648343494738074,-2.0009189065497472,-0.6744907594765952,0.0,-0.6746216187381688,1.8025232867288574,2.8935665661613186,0.3728857251125413,0.9286922063948437
CONTEXTUAL_OVERRIDE_1,50,1,151.234568,2575.4565559,150.0,0.687274993839426,0.6507051736382679,10.143245163620103,4.238873729767677,2.5029015776473447,1.050996335344067,1.6461257794190065,1.1111268610192804,1.0120745034964056,1.0246146995790768,-0.036569820201158176,-5.904371433852425,-7.640343585972758,0.5951294440749395,0.060130525675213375,0.9999454674344512,-0.22132656997118133,-5.8376432735425645,-7.305279840219938,2.6869636138887953,0.24868792209358126,0.8015298508291195,0.45442660684628017,0.6279782288376998,-4.010239551217025,False,268,269,8,0,0,0,5.594711379601839,0.0,-2.0009189065497472,-0.6744907594765952,0.0,-0.6688524165065857,-4.494125226874736,-2.1007719199311357,0.6800437154351258,0.007631471905544731
CONTEXTUAL_OVERRIDE_1,51,5,154.234568,2578.4565559,153.0,0.6470099031600991,0.3835096294739439,2.5029015776473447,2.8733422551803023,3.051553242242935,1.1671937172043247,1.1232909871780845,1.4389598902297562,0.7193544946396524,0.8119254802283021,-0.2635002736861552,0.3704406775329576,0.5486516645955901,-0.04390273002624023,0.2717661730254315,0.9999627563962774,-1.3785940230202156,0.2584038051879849,0.47767863731304455,-0.12698072408634153,1.0329521738866991,-1.4615397533316958,-0.9987125418080783,0.0,-0.3525403596702834,False,269,274,9,1,5,0,5.598421958998375,0.005453652061657564,0.0,2.697963037906381,0.0,0.6763995376981754,0.36902483054934315,0.41751949374727104,-0.9500008396656023,0.7643127194697334
CONTEXTUAL_OVERRIDE_1,52,7,157.234568,2581.4565559,156.0,0.579822747036505,0.6225150613491349,3.051553242242935,3.205727312207621,2.1036793589779745,1.523914898891854,1.4259796717224111,1.8304955226435546,0.8668372326889948,0.9397678003877712,0.042692314312629875,0.1541740699646863,-0.9478738832649602,-0.09793522716944292,0.3065806237517006,0.9999267031961656,0.18288312125065287,0.048298482846715576,-0.944644351426946,-0.36490996390377106,1.1619650764495795,-0.3213249011887708,-0.1252659193342526,0.0,-0.09645622864644182,False,274,281,4,1,2,0,5.616771097666572,0.032422437050026794,0.0,0.6744907594765952,0.0,0.17997054283665817,-0.23049472786440167,-0.4401658158293573,-0.20886118577270102,0.42636059335957305
CONTEXTUAL_OVERRIDE_1,53,10,160.234568,2584.4565559,159.0,0.8839592429003753,0.7908543096529821,2.1036793589779745,5.359409410813158,3.120875097023561,1.2849472914622115,1.4127571431670471,1.4498567379691558,0.9405590953151113,1.0634601887941633,-0.09310493324739322,3.2557300518351835,1.0171957380455865,0.1278098517048356,0.16490944650694428,0.9999999960784314,-0.5096362493381296,3.0614932920577402,0.9229907857481524,0.6291465363303601,0.6369701561059086,0.24863171750253246,0.7198274640189086,0.48422959076072053,1.1084950560853306,False,281,291,1,1,2,0,5.641907070938114,0.06936622339835018,0.0,0.6744907594765952,0.0,0.19290086805857137,1.2901541434042247,0.4539574149737993,0.4135502287832641,0.8159312330384725
CONTEXTUAL_OVERRIDE_1,54,6,163.234568,2587.4565559,162.0,0.7483252724019582,0.8864857346587939,3.120875097023561,1.886447807128009,2.138449471763095,1.5437144407422896,1.4763695336931517,1.669527143774484,1.0705487204522068,1.0717133340421132,0.13816046225683565,-1.234427289895552,-0.9824256252604662,-0.06734490704913787,0.1258127030321945,0.9999802338918372,0.6697379206925607,-1.3007425901023733,-0.9774829067135413,-0.23020710919938475,0.492088239223391,1.2536042530423859,0.7762147529277439,1.014909502985065,-0.6508803497036464,False,291,297,1,0,0,0,5.676753802268282,0.12058246966388286,-2.0009189065497472,-0.6744907594765952,0.0,-0.6266485521242267,-1.0768163895717513,-0.7250849823981008,1.0865179280022612,0.15694128398261412
CONTEXTUAL_OVERRIDE_1,55,9,166.234568,2590.4565559,165.0,1.0067990442280412,1.027678942491841,2.138449471763095,2.3668356673652307,2.8742180366819587,1.4275445819341688,1.0390272756715837,1.3006866823719627,0.9952295071887783,0.9690872519403101,0.02087989826379988,0.2283861956021358,0.7357685649188639,-0.38851730626258507,-0.12685789956220606,0.9999802338918372,0.07164728323059515,0.12039635664244193,0.6555176787460755,-1.6444727610841912,-0.44424041606167314,0.6712982370939352,0.07505097024820902,0.37317460367107214,0.1332860709642155,False,297,306,7,1,7,1,5.697093486505405,0.15047687401938709,0.0,4.046944556859572,4.191004191006287,1.6930536737726214,0.5027698424689871,-0.18842280050900465,0.4626116936979311,0.7815418242885174
CONTEXTUAL_OVERRIDE_1,56,9,169.234568,2593.4565559,168.0,0.7223684881588425,0.8340009763905595,2.8742180366819587,4.894094766802819,2.850459490693675,1.5253956657438044,1.1948711919215773,1.1717882650611442,0.840839662940125,0.8592001325210246,0.11163248823171701,2.0198767301208607,-0.023758545988283863,-0.33052447382222705,-0.35360740068266017,0.9999999960784314,0.5344543548990007,1.860848571890543,-0.06634963047487537,-1.3891043945098218,-1.2845125066439236,-0.5223166615761154,-0.6757218035126854,0.0,0.9448512446208425,False,306,315,6,1,6,0,5.726847747587197,0.1942084237184183,0.0,3.3724537973829762,0.0,0.9110863976471905,0.8136093905486655,-0.4079341195675788,-0.33950583002447504,0.7142824975860259
CONTEXTUAL_OVERRIDE_1,57,2,172.234568,2596.4565559,171.0,0.5873591563785173,0.887690793058124,2.850459490693675,3.094723046758619,2.6335578874196917,1.6823664189333671,1.570215042161651,1.2298884154216911,1.0911566881908221,0.8356400375517632,0.3003316366796067,0.244263556064944,-0.21690160327398322,-0.11215137677171616,-0.452478003511676,0.9998926194164184,1.4967552694003166,0.1358213821490438,-0.2499160325892303,-0.42751002584492526,-1.6509001181965135,1.4129280572979726,-0.8366895124090394,0.7064640286489863,0.4617546483721009,False,315,317,5,0,0,0,5.755742213586912,0.23667628310904415,-2.0009189065497472,-0.6744907594765952,0.0,-0.5860157174184202,-0.2859332752380851,-0.6135896310391808,0.9184032372436822,0.2397050726224461
CONTEXTUAL_OVERRIDE_1,58,9,175.234568,2599.4565559,174.0,0.7612024474222748,0.783711548875138,2.6335578874196917,2.2156279724816392,2.284463974296726,1.8015036038717533,1.4556073223626507,1.403041358828114,0.7698025661443535,0.8179112065744897,0.022509101452863223,-0.4179299149380524,-0.34909391312296556,-0.3458962815091027,-0.39846224504363925,0.9999999960784314,0.07995566051602349,-0.5075066574487831,-0.3755538217346567,-1.4567933356273275,-1.4507323821351579,-1.071516885893584,-0.9578167535150585,0.0,-0.2461311631200352,False,317,326,7,1,7,1,5.762051382780177,0.24594923212889694,0.0,4.046944556859572,4.191004191006287,1.7264689991109499,0.055000323194718925,-0.4387936358554078,-0.6964859758308296,0.6948179821314237
