cue_index,value,cue_start_sec,prior_sum,new_sum,prior_units_digit,carry_required,high_carry_load,hard9_pattern,arithmetic_compute_load,DR_gamma,WMU_theta,MAINT_theta,target_DR_gamma,target_WMU_theta,override_minus_target_WMU,compute_stall_score,latent_guess_risk
16,6,49.251251,92,98,2,0,0,0,0.7718849750045929,-0.6458785172400295,0.11742196153560913,1.5316931105873757,0.9864824669372686,0.8167032804446686,-0.6992813189090594,1.0175287798126407,0.5597838803271649
17,4,52.251251,98,102,8,1,3,0,1.6325319611896092,0.33804273613050784,-0.3023210830651161,-0.3029420474126694,-0.4689312333816211,0.8724784484783088,-1.174799531543425,0.10550142505850951,0.6326121682093271
18,6,55.251251,102,108,2,0,0,0,0.7892772513072627,1.7342016272044476,0.7193836640442377,2.1196535857617413,0.786310284713116,0.5038520983080546,0.21553156573618315,1.616837937729805,0.6771277129748324
19,3,58.251251,108,111,8,1,2,0,1.4989192401142628,0.37641405674413364,-0.887725339712557,0.16072139921516293,-0.06009746221340251,1.42794794882304,-2.315673288535597,0.011227839779868687,0.5763201834444672
20,4,61.251251,111,115,1,0,0,0,0.8035429534046558,0.10004975755726064,-0.590294952770082,0.22934041147835288,0.5898260272634659,3.032325045814606,-3.622619998584688,0.02040846770529936,0.37298747377645725
21,7,64.251251,115,122,5,1,3,0,1.6595188757327406,-0.9628792297248585,1.9367261905465705,0.7516954309675299,0.23641031999129702,-0.2582106403176502,2.1949368308642208,1.7590905296902355,0.86974376254403
22,5,67.251251,122,127,2,0,0,0,0.8194972457802677,0.45355046977818936,-0.43348487943528635,-0.8275350420368284,0.14868404188271978,2.3019961459786993,-2.7354810254139856,-0.4256356492909904,0.29794312127266165
23,9,70.251251,127,136,7,1,7,1,2.7762828570325855,-0.10838913562327024,-0.28249462976578066,-1.4924536603602907,-0.16040578447137332,1.52269915988794,-1.8051937896537207,-0.1934034308048893,0.8424825473098781
24,3,73.251251,136,139,6,0,0,0,0.8378546041167969,0.13192945283049845,0.8601349992524647,-0.6602305876071959,-0.9047670982827796,1.6726917842084086,-0.8125567849559439,0.30941585685183365,0.4385517489396409
25,5,76.251251,139,144,9,1,5,0,1.991543477119311,0.5306493612415522,-0.04289195060081763,-1.9389954233316762,0.30330168884471465,1.38425594608875,-1.4271478966895677,-0.49305781768641915,0.6213790991444399
26,3,79.251251,144,147,4,0,0,0,0.8475193994473958,0.58320361099419,0.4949711829999845,-0.41904026220565344,1.5432501028560033,1.2240412533548235,-0.729070070354839,0.2498453102590145,0.42969381840695764
27,2,82.251251,147,149,7,0,0,0,0.8510068177992968,-0.536758822929917,-0.15381463561396141,-0.20826650886925635,0.15309721403919818,1.0031295100214908,-1.1569441456354521,0.03171113220821531,0.3885472467268621
28,9,85.251251,149,158,9,1,9,1,3.1032927086504984,0.3216576191907251,-1.1791215859448667,0.6099637002627591,0.039149831850580186,0.2918323950146666,-1.4709539809595333,0.4912442343215708,0.931944304846623
29,1,88.251251,158,159,8,0,0,0,0.8632156887767506,-0.15946933883214492,-0.2512428300857213,-0.12224251382835893,0.26819865931175757,1.3586094991254694,-1.6098523292111906,0.029061250237147535,0.39152840276559325
30,5,91.251251,159,164,9,1,5,0,2.0142833807472407,1.1724529659516039,0.45332905117189315,0.49744473476319595,-0.43955585358771593,0.3464780115296185,0.10685103964227466,0.9789577381543547,0.84557472835715
31,5,94.251251,164,169,4,0,0,0,0.869523680715662,-0.41456650144392365,-0.2982012162488796,-1.8960799474827443,0.15423439763654967,-0.2388573471912785,-0.059343869057601084,-0.8797596616868965,0.2385983689327591
32,8,97.251251,169,177,9,1,8,0,2.474607530226172,1.3079714460673633,-1.0513947693708492,-2.6237644126285016,-0.04418617908267697,0.6904071317771543,-1.7418019011480035,-1.2189277084431323,0.6211393208180674
33,7,100.251251,177,184,7,1,5,0,2.0324386253932754,0.37444452162185193,-1.1914390044798397,-1.1009710752294517,-0.11393796306747017,0.7125945028448888,-1.9040335073247285,-0.6380953835063269,0.6055034924995892
34,1,103.251251,184,185,4,0,0,0,0.8890073415139521,-1.5910137000259184,-0.2240034773658568,-0.8001447651820403,-0.6030036542618049,0.46900080456451165,-0.6930042819303684,-0.28982228589546055,0.339606333175947
35,2,106.251251,185,187,5,0,0,0,0.889925383152105,-1.0099638335155854,0.0535146501303852,1.553891531930201,-0.5020209914693314,0.7158639375004647,-0.6623492873700796,1.0261844368183193,0.5960077580685024
36,6,109.251251,187,193,7,1,4,0,1.8917467514386739,0.35305876880069875,0.08684406781471576,-0.7138268906204921,0.7240796087022585,1.0090115821744305,-0.9221675143597148,0.1594452764567803,0.7104668154327916
