anchor_id,scene_label,target_window_start,target_window_end,reference_window,target_rows,reference_rows,cosine_similarity,euclidean_distance,target_vector_json,reference_vector_json
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,166.007354,176.007354,WASHOUT_2_first30,10,30,0.7855421387683438,3.1621984094704785,"[1.848301638888795, 1.8952626988088692, 0.4699913150275451, 0.396269225427155, -1.4808223229287023, 2.6461828644705028, 1.8787729047066435, 0.6829646862760939]","[1.1377434819319598, 1.237896343164501, -0.16872643475575486, 0.5491520982874122, -0.6081297454809685, 0.15532722421035527, 0.9250490879921553, -0.18628703232313654]"
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,166.007354,176.007354,WASHOUT_2_first45,10,45,0.7369765601297635,3.407643185148531,"[1.848301638888795, 1.8952626988088692, 0.4699913150275451, 0.396269225427155, -1.4808223229287023, 2.6461828644705028, 1.8787729047066435, 0.6829646862760939]","[0.9581831558274383, 1.0753561893580816, -0.09131712109708516, 0.53605217241037, -0.5606385758067948, 0.1493749549997163, 0.7093925253809422, -0.48520897787444417]"
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,166.007354,176.007354,WASHOUT_2_first60,10,60,0.751378719487715,3.4621411348007984,"[1.848301638888795, 1.8952626988088692, 0.4699913150275451, 0.396269225427155, -1.4808223229287023, 2.6461828644705028, 1.8787729047066435, 0.6829646862760939]","[0.8275210011532869, 0.9420807197501956, -0.11959408228753031, 0.4144360365970323, -0.67657590244227, 0.17070151651357696, 0.5906320360985846, -0.43676928285245864]"
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,166.007354,176.007354,BASELINE_2_first30,10,30,0.7254560392027263,3.6284717640877857,"[1.848301638888795, 1.8952626988088692, 0.4699913150275451, 0.396269225427155, -1.4808223229287023, 2.6461828644705028, 1.8787729047066435, 0.6829646862760939]","[2.39752927331812, 2.0568049705881277, -0.0006003486822357592, 0.39143579150886043, -0.24461388390625877, 0.03171793089791841, 3.5739177274491354, 1.8574545342916615]"
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,166.007354,176.007354,BASELINE_2_all,10,119,0.8176979970139293,2.644337070170771,"[1.848301638888795, 1.8952626988088692, 0.4699913150275451, 0.396269225427155, -1.4808223229287023, 2.6461828644705028, 1.8787729047066435, 0.6829646862760939]","[1.4563341949020385, 1.2548907763289305, 0.3467019768089793, -0.005104616633712348, -0.8996858439633546, 0.28315293463556945, 2.1821825931149768, 1.1716518530035658]"
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,263.007354,298.007354,WASHOUT_2_first30,35,30,0.6829125848099075,2.9829518912633275,"[1.2944077191125596, 1.4229789586529455, 1.6145683331571548, -0.008671478831647685, -2.7362280717290735, 1.0479484389058433, 1.0272058675606537, -0.07727222299735949]","[1.1377434819319598, 1.237896343164501, -0.16872643475575486, 0.5491520982874122, -0.6081297454809685, 0.15532722421035527, 0.9250490879921553, -0.18628703232313654]"
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,263.007354,298.007354,WASHOUT_2_first45,35,45,0.6845352974761308,3.0411674178086225,"[1.2944077191125596, 1.4229789586529455, 1.6145683331571548, -0.008671478831647685, -2.7362280717290735, 1.0479484389058433, 1.0272058675606537, -0.07727222299735949]","[0.9581831558274383, 1.0753561893580816, -0.09131712109708516, 0.53605217241037, -0.5606385758067948, 0.1493749549997163, 0.7093925253809422, -0.48520897787444417]"
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,263.007354,298.007354,WASHOUT_2_first60,35,60,0.7329749162012777,2.9945199354815113,"[1.2944077191125596, 1.4229789586529455, 1.6145683331571548, -0.008671478831647685, -2.7362280717290735, 1.0479484389058433, 1.0272058675606537, -0.07727222299735949]","[0.8275210011532869, 0.9420807197501956, -0.11959408228753031, 0.4144360365970323, -0.67657590244227, 0.17070151651357696, 0.5906320360985846, -0.43676928285245864]"
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,263.007354,298.007354,BASELINE_2_first30,35,30,0.49959496702038436,4.675173034697797,"[1.2944077191125596, 1.4229789586529455, 1.6145683331571548, -0.008671478831647685, -2.7362280717290735, 1.0479484389058433, 1.0272058675606537, -0.07727222299735949]","[2.39752927331812, 2.0568049705881277, -0.0006003486822357592, 0.39143579150886043, -0.24461388390625877, 0.03171793089791841, 3.5739177274491354, 1.8574545342916615]"
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,263.007354,298.007354,BASELINE_2_all,35,119,0.6950295782740126,2.9177994692181595,"[1.2944077191125596, 1.4229789586529455, 1.6145683331571548, -0.008671478831647685, -2.7362280717290735, 1.0479484389058433, 1.0272058675606537, -0.07727222299735949]","[1.4563341949020385, 1.2548907763289305, 0.3467019768089793, -0.005104616633712348, -0.8996858439633546, 0.28315293463556945, 2.1821825931149768, 1.1716518530035658]"
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,271.007354,286.007354,WASHOUT_2_first30,15,30,0.8247113499201214,2.4047456321469665,"[1.5813519335894168, 1.7089730823530656, 0.681479871421724, 0.17297731599536886, -2.3190491688521617, 1.1954923382847142, 1.33141387971254, 0.3841693560984015]","[1.1377434819319598, 1.237896343164501, -0.16872643475575486, 0.5491520982874122, -0.6081297454809685, 0.15532722421035527, 0.9250490879921553, -0.18628703232313654]"
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,271.007354,286.007354,WASHOUT_2_first45,15,45,0.7912572138288414,2.6168582082038743,"[1.5813519335894168, 1.7089730823530656, 0.681479871421724, 0.17297731599536886, -2.3190491688521617, 1.1954923382847142, 1.33141387971254, 0.3841693560984015]","[0.9581831558274383, 1.0753561893580816, -0.09131712109708516, 0.53605217241037, -0.5606385758067948, 0.1493749549997163, 0.7093925253809422, -0.48520897787444417]"
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,271.007354,286.007354,WASHOUT_2_first60,15,60,0.8300305332000274,2.612856561617998,"[1.5813519335894168, 1.7089730823530656, 0.681479871421724, 0.17297731599536886, -2.3190491688521617, 1.1954923382847142, 1.33141387971254, 0.3841693560984015]","[0.8275210011532869, 0.9420807197501956, -0.11959408228753031, 0.4144360365970323, -0.67657590244227, 0.17070151651357696, 0.5906320360985846, -0.43676928285245864]"
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,271.007354,286.007354,BASELINE_2_first30,15,30,0.6839138000451952,3.7625968892049806,"[1.5813519335894168, 1.7089730823530656, 0.681479871421724, 0.17297731599536886, -2.3190491688521617, 1.1954923382847142, 1.33141387971254, 0.3841693560984015]","[2.39752927331812, 2.0568049705881277, -0.0006003486822357592, 0.39143579150886043, -0.24461388390625877, 0.03171793089791841, 3.5739177274491354, 1.8574545342916615]"
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,271.007354,286.007354,BASELINE_2_all,15,119,0.8304954787491879,2.134596240793014,"[1.5813519335894168, 1.7089730823530656, 0.681479871421724, 0.17297731599536886, -2.3190491688521617, 1.1954923382847142, 1.33141387971254, 0.3841693560984015]","[1.4563341949020385, 1.2548907763289305, 0.3467019768089793, -0.005104616633712348, -0.8996858439633546, 0.28315293463556945, 2.1821825931149768, 1.1716518530035658]"
