condition,anchor_source,anchor_metric,anchor_time_lsl,condition_offset_sec,peak_score,K_HT_topo_local,eta_E_from_topo_proxy,zeta_topo_from_E_proxy,K_sign,theta_delta_0_10,theta_delta_10_30,K_percentile_by_condition,theta_10_30_percentile_by_condition,MR_score,ENC_score,mred_quadrant,event_lock_candidate
CONTROL_1,physiology_exploratory,meaninggamma_score,1605.2144613,219.71651480000014,0.14043269264215114,0.7970222218006683,0.7876509792499672,-0.8065049606730368,-1.0,0.17489870821381742,-0.12869472889182224,68.18181818181817,46.96969696969697,-0.26912946626136225,0.047654863047819164,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1615.2144613,229.71651480000014,0.3978746412753948,1.1406827743764398,-1.0871638839711266,1.1968362920651332,-1.0,-0.40981283993012124,4.7633948941647,89.39393939393939,98.48484848484848,0.02390099778760596,2.602854051212801,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1627.2144613,241.71651480000014,0.2904223921230829,1.1717408054472975,-0.7414878674559395,1.8516506815694675,-1.0,0.45729784566618303,4.618945005196498,95.45454545454545,92.42424242424242,-0.007656596487284895,2.853963873413083,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1639.2144613,253.71651480000014,1.5409926132128884,0.7046278205166606,0.40295548509398776,1.2321469338734836,1.0,5.342534544048858,-2.1629164445361604,63.63636363636363,18.181818181818183,0.3046794911449021,0.8774218552216242,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1654.2144613,268.71651480000014,-0.11662376047102768,0.13940867117257108,-0.21261680602477073,0.0914075324593006,-1.0,-5.044188361640388,-4.243562800974695,4.545454545454546,7.575757575757576,-0.7252632615356492,-4.296037210489039,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1681.2144613,295.71651480000014,-0.1318581743764204,0.1746894033113192,-0.3310442728803494,0.09218219473712025,-1.0,-0.8959325059638257,-0.5980877563267867,15.151515151515152,24.242424242424242,-0.7136793525314613,-0.6305453529496976,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1394.2144613,8.716514800000141,0.5810264429443921,0.5766102257539725,-0.7025361725947536,0.47325584847263424,-1.0,-0.38531862705043785,2.672227347778545,56.060606060606055,80.3030303030303,-0.18812990787424358,1.4239824357533797,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,tsp_z,1403.2144613,17.71651480000014,0.6845132230442974,0.16336336107669103,-0.09966000148905976,0.2677863470150858,-1.0,0.24416826316479534,3.2818144850902837,10.606060606060606,86.36363636363636,-0.3570942572702962,2.012257535961465,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,tsp_z,1430.2144613,44.71651480000014,-0.0978826681867197,0.5156057456123208,0.4479151648802521,-0.5935259749008737,-1.0,-4.108837382629801,-3.666114977359676,46.96969696969697,13.636363636363635,-0.5212969011000536,-3.608495016197949,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1456.2144613,70.71651480000014,-0.10310365966951687,0.3886604013969301,-0.592982694990937,0.25474083626729027,-1.0,0.9434871865385772,1.04646443643046,34.84848484848485,71.21212121212122,-0.5896342977549787,1.0107607653418929,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,tsp_z,1511.2144613,125.71651480000014,-0.1246296435452467,0.3957806212477508,-0.3039671853440076,0.5153263500399868,-1.0,-0.20424944884424545,-0.8344540393496032,39.39393939393939,21.21212121212121,-0.5954890601137025,-0.49907504794764523,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1552.2144613,166.71651480000014,-0.03289539151071619,0.30601504882289565,-0.1525387127363292,0.6139111077195836,-1.0,0.15396018021746394,0.26910534002938424,25.757575757575758,56.060606060606055,-0.6014418424648548,0.26565476652676656,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1561.2144613,175.71651480000014,-0.053662643766417245,1.0727373098626254,-0.9724659097573988,1.1833477394167822,-1.0,0.5862764730994828,0.4533096331802552,83.33333333333334,62.121212121212125,-0.21192084712475667,0.5364467445604992,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1572.2144613,186.71651480000014,0.00010857099247810198,0.9489275589524914,-0.8659199234207773,1.0398923593099623,-1.0,-0.5551811044546616,-0.44269105099499495,77.27272727272727,34.84848484848485,-0.25243454266495197,-0.4113072798469223,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1595.2144613,209.71651480000014,-0.11233793888192828,1.714845524539235,1.5032092476085763,-1.9562779950366418,-1.0,-0.13940019280447913,-0.20061137299271542,100.0,42.42424242424242,0.09596185919055278,-0.11398204073244875,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1605.2144613,219.71651480000014,0.23986357117000956,0.7970222218006683,0.7876509792499672,-0.8065049606730368,-1.0,0.17489870821381742,-0.12869472889182224,68.18181818181817,46.96969696969697,-0.22498137427966533,0.047654863047819164,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1615.2144613,229.71651480000014,0.5366151893418016,1.1406827743764398,-1.0871638839711266,1.1968362920651332,-1.0,-0.40981283993012124,4.7633948941647,89.39393939393939,98.48484848484848,0.08550289217206153,2.602854051212801,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,tsp_z,1627.2144613,241.71651480000014,0.513184841449383,1.1717408054472975,-0.7414878674559395,1.8516506815694675,-1.0,0.45729784566618303,4.618945005196498,95.45454545454545,92.42424242424242,0.09125168279710424,2.853963873413083,MR_LOW_ENC_HIGH,False
CONTROL_1,physiology_exploratory,tsp_z,1636.2144613,250.71651480000014,0.3056837633592096,0.4691473094108955,0.13078309479535322,1.6829330906405708,1.0,9.71918102686029,-0.5532740246522225,42.42424242424242,30.303030303030305,-0.36627142073192487,3.473833866657388,MR_LOW_ENC_HIGH,False
