condition,phase_time_sec,time_lsl,lz_complexity_norm
CONTROL_1,104.5,33737.1194394,0.059794705707972524
CONTROL_1,105.5,33738.1194394,0.09965784284662088
CONTROL_1,106.5,33739.1194394,0.10962362713128296
CONTROL_1,107.5,33740.1194394,0.059794705707972524
CONTROL_1,108.5,33741.1194394,0.059794705707972524
CONTROL_1,109.5,33742.1194394,0.059794705707972524
CONTROL_1,110.5,33743.1194394,0.059794705707972524
CONTROL_1,111.5,33744.1194394,0.059794705707972524
CONTROL_1,112.5,33745.1194394,0.059794705707972524
CONTROL_1,113.5,33746.1194394,0.059794705707972524
CONTROL_1,114.5,33747.1194394,0.059794705707972524
CONTROL_1,115.5,33748.1194394,0.059794705707972524
CONTROL_1,116.5,33749.1194394,0.059794705707972524
CONTROL_1,117.5,33750.1194394,0.059794705707972524
CONTROL_1,118.5,33751.1194394,0.059794705707972524
CONTROL_1,119.5,33752.1194394,0.059794705707972524
CONTROL_1,120.5,33753.1194394,0.059794705707972524
CONTROL_1,121.5,33754.1194394,0.059794705707972524
CONTROL_1,122.5,33755.1194394,0.059794705707972524
CONTROL_1,123.5,33756.1194394,0.059794705707972524
CONTROL_1,124.5,33757.1194394,0.059794705707972524
CONTROL_1,125.5,33758.1194394,0.059794705707972524
CONTROL_1,126.5,33759.1194394,0.059794705707972524
CONTROL_1,127.5,33760.1194394,0.059794705707972524
CONTROL_1,128.5,33761.1194394,0.059794705707972524
CONTROL_1,129.5,33762.1194394,0.059794705707972524
CONTROL_1,130.5,33763.1194394,0.059794705707972524
CONTROL_1,131.5,33764.1194394,0.059794705707972524
CONTROL_1,132.5,33765.1194394,0.059794705707972524
CONTROL_1,133.5,33766.1194394,0.059794705707972524
CONTROL_1,134.5,33767.1194394,0.059794705707972524
CONTROL_1,135.5,33768.1194394,0.059794705707972524
CONTROL_1,136.5,33769.1194394,0.059794705707972524
CONTROL_1,137.5,33770.1194394,0.059794705707972524
CONTROL_1,138.5,33771.1194394,0.059794705707972524
CONTROL_1,139.5,33772.1194394,0.059794705707972524
CONTROL_1,140.5,33773.1194394,0.059794705707972524
CONTROL_1,141.5,33774.1194394,0.059794705707972524
CONTROL_1,142.5,33775.1194394,0.059794705707972524
CONTROL_1,143.5,33776.1194394,0.059794705707972524
CONTROL_1,144.5,33777.1194394,0.059794705707972524
CONTROL_1,145.5,33778.1194394,0.059794705707972524
CONTROL_1,146.5,33779.1194394,0.059794705707972524
CONTROL_1,147.5,33780.1194394,0.059794705707972524
CONTROL_1,148.5,33781.1194394,0.059794705707972524
CONTROL_1,149.5,33782.1194394,0.059794705707972524
CONTROL_1,150.5,33783.1194394,0.059794705707972524
CONTROL_1,151.5,33784.1194394,0.059794705707972524
CONTROL_1,152.5,33785.1194394,0.059794705707972524
CONTROL_1,153.5,33786.1194394,0.059794705707972524
CONTROL_1,154.5,33787.1194394,0.059794705707972524
CONTROL_1,155.5,33788.1194394,0.059794705707972524
CONTROL_1,156.5,33789.1194394,0.059794705707972524
CONTROL_1,157.5,33790.1194394,0.059794705707972524
CONTROL_1,158.5,33791.1194394,0.059794705707972524
CONTROL_1,159.5,33792.1194394,0.059794705707972524
CONTROL_1,160.5,33793.1194394,0.059794705707972524
CONTROL_1,161.5,33794.1194394,0.059794705707972524
CONTROL_1,162.5,33795.1194394,0.059794705707972524
CONTROL_1,163.5,33796.1194394,0.059794705707972524
CONTROL_1,164.5,33797.1194394,0.059794705707972524
CONTROL_1,165.5,33798.1194394,0.059794705707972524
CONTROL_1,166.5,33799.1194394,0.059794705707972524
CONTROL_1,167.5,33800.1194394,0.059794705707972524
CONTROL_1,168.5,33801.1194394,0.059794705707972524
CONTROL_1,169.5,33802.1194394,0.059794705707972524
CONTROL_1,170.5,33803.1194394,0.059794705707972524
CONTROL_1,171.5,33804.1194394,0.059794705707972524
CONTROL_1,172.5,33805.1194394,0.059794705707972524
CONTROL_1,173.5,33806.1194394,0.059794705707972524
CONTROL_1,174.5,33807.1194394,0.059794705707972524
CONTROL_1,175.5,33808.1194394,0.059794705707972524
CONTROL_1,176.5,33809.1194394,0.059794705707972524
CONTROL_1,177.5,33810.1194394,0.059794705707972524
CONTROL_1,178.5,33811.1194394,0.059794705707972524
CONTROL_1,179.5,33812.1194394,0.059794705707972524
CONTROL_1,180.5,33813.1194394,0.059794705707972524
CONTROL_1,181.5,33814.1194394,0.059794705707972524
CONTROL_1,182.5,33815.1194394,0.059794705707972524
CONTROL_1,183.5,33816.1194394,0.059794705707972524
CONTROL_1,184.5,33817.1194394,0.059794705707972524
CONTROL_1,185.5,33818.1194394,0.059794705707972524
CONTROL_1,186.5,33819.1194394,0.059794705707972524
CONTROL_1,187.5,33820.1194394,0.059794705707972524
CONTROL_1,188.5,33821.1194394,0.059794705707972524
CONTROL_1,189.5,33822.1194394,0.059794705707972524
CONTROL_1,190.5,33823.1194394,0.059794705707972524
CONTROL_1,191.5,33824.1194394,0.059794705707972524
CONTROL_1,192.5,33825.1194394,0.059794705707972524
CONTROL_1,193.5,33826.1194394,0.059794705707972524
CONTROL_1,194.5,33827.1194394,0.09965784284662088
CONTROL_1,195.5,33828.1194394,0.16941833283925548
CONTROL_1,196.5,33829.1194394,0.20928146997790384
CONTROL_1,197.5,33830.1194394,0.20928146997790384
CONTROL_1,198.5,33831.1194394,0.22921303854722802
CONTROL_1,199.5,33832.1194394,0.11958941141594505
CONTROL_1,200.5,33833.1194394,0.12955519570060714
WASHOUT_1,2.5,33838.8873842,0.14948676426993132
WASHOUT_1,3.5,33839.8873842,0.18934990140857966
WASHOUT_1,4.5,33840.8873842,0.19931568569324176
WASHOUT_1,5.5,33841.8873842,0.08969205856195879
WASHOUT_1,6.5,33842.8873842,0.059794705707972524
WASHOUT_1,7.5,33843.8873842,0.059794705707972524
WASHOUT_1,8.5,33844.8873842,0.059794705707972524
WASHOUT_1,9.5,33845.8873842,0.059794705707972524
WASHOUT_1,10.5,33846.8873842,0.059794705707972524
WASHOUT_1,11.5,33847.8873842,0.059794705707972524
WASHOUT_1,12.5,33848.8873842,0.059794705707972524
WASHOUT_1,13.5,33849.8873842,0.059794705707972524
WASHOUT_1,14.5,33850.8873842,0.059794705707972524
WASHOUT_1,15.5,33851.8873842,0.14948676426993132
WASHOUT_1,16.5,33852.8873842,0.21924725426256592
WASHOUT_1,17.5,33853.8873842,0.24914460711655217
WASHOUT_1,18.5,33854.8873842,0.27904195997053843
WASHOUT_1,19.5,33855.8873842,0.3288708813938489
WASHOUT_1,20.5,33856.8873842,0.29897352853986264
WASHOUT_1,21.5,33857.8873842,0.17938411712391758
WASHOUT_1,22.5,33858.8873842,0.12955519570060714
WASHOUT_1,23.5,33859.8873842,0.14948676426993132
WASHOUT_1,24.5,33860.8873842,0.13952097998526922
WASHOUT_1,25.5,33861.8873842,0.14948676426993132
WASHOUT_1,26.5,33862.8873842,0.21924725426256592
WASHOUT_1,27.5,33863.8873842,0.24914460711655217
WASHOUT_1,28.5,33864.8873842,0.22921303854722802
WASHOUT_1,29.5,33865.8873842,0.16941833283925548
WASHOUT_1,30.5,33866.8873842,0.1594525485545934
WASHOUT_1,31.5,33867.8873842,0.19931568569324176
WASHOUT_1,32.5,33868.8873842,0.2391788228318901
WASHOUT_1,33.5,33869.8873842,0.24914460711655217
WASHOUT_1,34.5,33870.8873842,0.16941833283925548
WASHOUT_1,35.5,33871.8873842,0.24914460711655217
WASHOUT_1,36.5,33872.8873842,0.24914460711655217
WASHOUT_1,37.5,33873.8873842,0.16941833283925548
WASHOUT_1,38.5,33874.8873842,0.17938411712391758
WASHOUT_1,39.5,33875.8873842,0.1594525485545934
WASHOUT_1,40.5,33876.8873842,0.2690761756858764
WASHOUT_1,41.5,33877.8873842,0.2591103914012143
WASHOUT_1,42.5,33878.8873842,0.21924725426256592
WASHOUT_1,43.5,33879.8873842,0.2391788228318901
WASHOUT_1,44.5,33880.8873842,0.24914460711655217
WASHOUT_1,45.5,33881.8873842,0.2391788228318901
WASHOUT_1,46.5,33882.8873842,0.19931568569324176
WASHOUT_1,47.5,33883.8873842,0.24914460711655217
WASHOUT_1,48.5,33884.8873842,0.2690761756858764
WASHOUT_1,49.5,33885.8873842,0.21924725426256592
WASHOUT_1,50.5,33886.8873842,0.18934990140857966
WASHOUT_1,51.5,33887.8873842,0.22921303854722802
WASHOUT_1,52.5,33888.8873842,0.18934990140857966
WASHOUT_1,53.5,33889.8873842,0.14948676426993132
WASHOUT_1,54.5,33890.8873842,0.14948676426993132
WASHOUT_1,55.5,33891.8873842,0.14948676426993132
WASHOUT_1,56.5,33892.8873842,0.059794705707972524
WASHOUT_1,57.5,33893.8873842,0.059794705707972524
WASHOUT_1,58.5,33894.8873842,0.059794705707972524
WASHOUT_1,59.5,33895.8873842,0.059794705707972524
WASHOUT_1,60.5,33896.8873842,0.11958941141594505
WASHOUT_1,61.5,33897.8873842,0.16941833283925548
WASHOUT_1,62.5,33898.8873842,0.16941833283925548
WASHOUT_1,63.5,33899.8873842,0.17938411712391758
WASHOUT_1,64.5,33900.8873842,0.20928146997790384
WASHOUT_1,65.5,33901.8873842,0.22921303854722802
WASHOUT_1,66.5,33902.8873842,0.22921303854722802
WASHOUT_1,67.5,33903.8873842,0.12955519570060714
WASHOUT_1,68.5,33904.8873842,0.1594525485545934
WASHOUT_1,69.5,33905.8873842,0.10962362713128296
WASHOUT_1,70.5,33906.8873842,0.11958941141594505
WASHOUT_1,71.5,33907.8873842,0.16941833283925548
WASHOUT_1,72.5,33908.8873842,0.20928146997790384
WASHOUT_1,73.5,33909.8873842,0.28900774425520054
WASHOUT_1,74.5,33910.8873842,0.3089393128245247
WASHOUT_1,75.5,33911.8873842,0.29897352853986264
WASHOUT_1,76.5,33912.8873842,0.1594525485545934
WASHOUT_1,77.5,33913.8873842,0.1594525485545934
WASHOUT_1,78.5,33914.8873842,0.20928146997790384
WASHOUT_1,79.5,33915.8873842,0.24914460711655217
WASHOUT_1,80.5,33916.8873842,0.18934990140857966
WASHOUT_1,81.5,33917.8873842,0.1594525485545934
WASHOUT_1,82.5,33918.8873842,0.10962362713128296
WASHOUT_1,83.5,33919.8873842,0.16941833283925548
WASHOUT_1,84.5,33920.8873842,0.16941833283925548
WASHOUT_1,85.5,33921.8873842,0.2591103914012143
WASHOUT_1,86.5,33922.8873842,0.2591103914012143
WASHOUT_1,87.5,33923.8873842,0.29897352853986264
WASHOUT_1,88.5,33924.8873842,0.24914460711655217
WASHOUT_1,89.5,33925.8873842,0.24914460711655217
WASHOUT_1,90.5,33926.8873842,0.19931568569324176
WASHOUT_1,91.5,33927.8873842,0.19931568569324176
WASHOUT_1,92.5,33928.8873842,0.2591103914012143
WASHOUT_1,93.5,33929.8873842,0.20928146997790384
WASHOUT_1,94.5,33930.8873842,0.19931568569324176
WASHOUT_1,95.5,33931.8873842,0.19931568569324176
WASHOUT_1,96.5,33932.8873842,0.2391788228318901
WASHOUT_1,97.5,33933.8873842,0.19931568569324176
WASHOUT_1,98.5,33934.8873842,0.19931568569324176
WASHOUT_1,99.5,33935.8873842,0.21924725426256592
WASHOUT_1,100.5,33936.8873842,0.2391788228318901
WASHOUT_1,101.5,33937.8873842,0.22921303854722802
WASHOUT_1,102.5,33938.8873842,0.2690761756858764
WASHOUT_1,103.5,33939.8873842,0.2391788228318901
WASHOUT_1,104.5,33940.8873842,0.27904195997053843
WASHOUT_1,105.5,33941.8873842,0.11958941141594505
WASHOUT_1,106.5,33942.8873842,0.13952097998526922
WASHOUT_1,107.5,33943.8873842,0.14948676426993132
WASHOUT_1,108.5,33944.8873842,0.14948676426993132
WASHOUT_1,109.5,33945.8873842,0.1594525485545934
WASHOUT_1,110.5,33946.8873842,0.17938411712391758
WASHOUT_1,111.5,33947.8873842,0.11958941141594505
WASHOUT_1,112.5,33948.8873842,0.12955519570060714
WASHOUT_1,113.5,33949.8873842,0.1594525485545934
WASHOUT_1,114.5,33950.8873842,0.12955519570060714
WASHOUT_1,115.5,33951.8873842,0.16941833283925548
WASHOUT_1,116.5,33952.8873842,0.20928146997790384
WASHOUT_1,117.5,33953.8873842,0.22921303854722802
TARGET_1,2.5,34020.4164495,0.06976048999263461
TARGET_1,3.5,34021.4164495,0.06976048999263461
TARGET_1,4.5,34022.4164495,0.06976048999263461
TARGET_1,5.5,34023.4164495,0.06976048999263461
TARGET_1,6.5,34024.4164495,0.06976048999263461
TARGET_1,7.5,34025.4164495,0.06976048999263461
TARGET_1,8.5,34026.4164495,0.06976048999263461
TARGET_1,9.5,34027.4164495,0.06976048999263461
TARGET_1,10.5,34028.4164495,0.06976048999263461
TARGET_1,11.5,34029.4164495,0.06976048999263461
TARGET_1,12.5,34030.4164495,0.06976048999263461
TARGET_1,13.5,34031.4164495,0.06976048999263461
TARGET_1,14.5,34032.4164495,0.06976048999263461
TARGET_1,15.5,34033.4164495,0.06976048999263461
TARGET_1,16.5,34034.4164495,0.06976048999263461
TARGET_1,17.5,34035.4164495,0.06976048999263461
TARGET_1,18.5,34036.4164495,0.06976048999263461
TARGET_1,19.5,34037.4164495,0.06976048999263461
TARGET_1,20.5,34038.4164495,0.06976048999263461
TARGET_1,21.5,34039.4164495,0.06976048999263461
TARGET_1,22.5,34040.4164495,0.06976048999263461
TARGET_1,23.5,34041.4164495,0.06976048999263461
TARGET_1,24.5,34042.4164495,0.06976048999263461
TARGET_1,25.5,34043.4164495,0.06976048999263461
TARGET_1,26.5,34044.4164495,0.06976048999263461
TARGET_1,27.5,34045.4164495,0.06976048999263461
TARGET_1,28.5,34046.4164495,0.06976048999263461
TARGET_1,29.5,34047.4164495,0.11958941141594505
TARGET_1,30.5,34048.4164495,0.1594525485545934
TARGET_1,31.5,34049.4164495,0.28900774425520054
TARGET_1,32.5,34050.4164495,0.34880244996317306
TARGET_1,33.5,34051.4164495,0.35876823424783516
TARGET_1,34.5,34052.4164495,0.28900774425520054
TARGET_1,35.5,34053.4164495,0.11958941141594505
TARGET_1,36.5,34054.4164495,0.059794705707972524
TARGET_1,37.5,34055.4164495,0.059794705707972524
TARGET_1,38.5,34056.4164495,0.059794705707972524
TARGET_1,39.5,34057.4164495,0.059794705707972524
TARGET_1,40.5,34058.4164495,0.059794705707972524
TARGET_1,41.5,34059.4164495,0.059794705707972524
TARGET_1,42.5,34060.4164495,0.059794705707972524
TARGET_1,43.5,34061.4164495,0.059794705707972524
TARGET_1,44.5,34062.4164495,0.059794705707972524
TARGET_1,45.5,34063.4164495,0.059794705707972524
TARGET_1,46.5,34064.4164495,0.059794705707972524
TARGET_1,47.5,34065.4164495,0.059794705707972524
TARGET_1,48.5,34066.4164495,0.059794705707972524
TARGET_1,49.5,34067.4164495,0.059794705707972524
TARGET_1,50.5,34068.4164495,0.059794705707972524
TARGET_1,51.5,34069.4164495,0.059794705707972524
TARGET_1,52.5,34070.4164495,0.059794705707972524
TARGET_1,53.5,34071.4164495,0.059794705707972524
TARGET_1,54.5,34072.4164495,0.059794705707972524
TARGET_1,55.5,34073.4164495,0.059794705707972524
TARGET_1,56.5,34074.4164495,0.059794705707972524
TARGET_1,57.5,34075.4164495,0.059794705707972524
TARGET_1,58.5,34076.4164495,0.059794705707972524
TARGET_1,59.5,34077.4164495,0.059794705707972524
TARGET_1,60.5,34078.4164495,0.059794705707972524
TARGET_1,61.5,34079.4164495,0.059794705707972524
TARGET_1,62.5,34080.4164495,0.059794705707972524
TARGET_1,63.5,34081.4164495,0.059794705707972524
TARGET_1,64.5,34082.4164495,0.059794705707972524
TARGET_1,65.5,34083.4164495,0.059794705707972524
TARGET_1,66.5,34084.4164495,0.059794705707972524
TARGET_1,67.5,34085.4164495,0.059794705707972524
TARGET_1,68.5,34086.4164495,0.059794705707972524
TARGET_1,69.5,34087.4164495,0.059794705707972524
TARGET_1,70.5,34088.4164495,0.059794705707972524
TARGET_1,71.5,34089.4164495,0.059794705707972524
