condition,phase_time_sec,NIP_resid
CONTROL_1,65.0,-0.0007434891637701983
CONTROL_1,66.0,-0.00021149408241273636
CONTROL_1,67.0,5.074244334256242e-05
CONTROL_1,68.0,-0.0005300188236489721
CONTROL_1,69.0,-0.00016841817991681548
CONTROL_1,70.0,1.0458577384582447e-05
CONTROL_1,71.0,-0.0007365841410839949
CONTROL_1,72.0,-0.0002839936461953908
CONTROL_1,73.0,-5.799837129500263e-05
CONTROL_1,74.0,-0.0004899802911791677
CONTROL_1,75.0,-8.589315863426385e-05
CONTROL_1,76.0,-6.10705511218414e-05
CONTROL_1,77.0,-0.0005521811911195979
CONTROL_1,78.0,3.3875431426429084e-05
CONTROL_1,79.0,1.0983888158842858e-05
CONTROL_1,80.0,-0.0003775974641168184
CONTROL_1,81.0,-0.00024274156589835865
CONTROL_1,82.0,-1.8291619049526516e-05
CONTROL_1,83.0,-8.295926089228598e-05
CONTROL_1,84.0,-9.910923664926085e-06
CONTROL_1,85.0,7.196159877642682e-05
CONTROL_1,86.0,-0.000573809340177428
CONTROL_1,87.0,-0.0001142810006024135
CONTROL_1,88.0,7.48556453105754e-05
CONTROL_1,89.0,-0.0001448846222726102
CONTROL_1,90.0,-0.00017749973493171804
CONTROL_1,91.0,0.0001873452190725876
CONTROL_1,92.0,-0.00038118241485671385
CONTROL_1,93.0,-0.00019019477255162616
CONTROL_1,94.0,4.037716066049291e-05
CONTROL_1,95.0,-0.00024488691989293465
CONTROL_1,96.0,-0.00013755424018581662
CONTROL_1,97.0,0.00022924215024543052
CONTROL_1,98.0,-0.0005900272922496509
CONTROL_1,99.0,-0.00018054338801245232
CONTROL_1,100.0,4.4429476197993165e-06
CONTROL_1,101.0,-0.0004864121981840515
CONTROL_1,102.0,-0.00026049900201496727
CONTROL_1,103.0,-0.00010162747495687492
CONTROL_1,104.0,-0.00024915997751968357
CONTROL_1,105.0,-0.0003281949506932831
CONTROL_1,106.0,-0.0003339766635903509
CONTROL_1,107.0,-0.00025841195568283593
CONTROL_1,108.0,-0.00047279290527084086
CONTROL_1,109.0,-0.0002134914296080222
CONTROL_1,110.0,-0.0005281971013454816
CONTROL_1,111.0,-0.0004775751006330637
CONTROL_1,112.0,0.00010846277696976498
CONTROL_1,113.0,-0.0004483428448291772
CONTROL_1,114.0,-6.977825376480089e-05
CONTROL_1,115.0,-0.0002306026222007126
CONTROL_1,116.0,-0.000473827967282457
CONTROL_1,117.0,-0.0005308241131045596
CONTROL_1,118.0,-0.00019740671766140612
CONTROL_1,119.0,-0.0007648347689320162
