seed,eta_true,zeta_true,K_true,eta_hat,zeta_hat,K_hat,K_loop_hat,eta_pct_error,zeta_pct_error,K_pct_error,K_lock_15_pass,K_lock_10_pass,directional_20_pass,directional_15_pass,full_cv_fold_wins,full_cv_win_rate,cv_winners_pipe,locked_spec_sha256
910043,4.0,180.0,26.832815729997478,4.5,170.0,27.65863337187866,765.0,0.125,0.05555555555555555,0.03077640640441506,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|eta_only|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910044,4.0,180.0,26.832815729997478,4.0,190.0,27.568097504180443,760.0,0.0,0.05555555555555555,0.02740233382816267,True,True,True,True,4,0.6666666666666666,replay_only_basis|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910045,4.0,180.0,26.832815729997478,3.75,170.0,25.248762345905195,637.5,0.0625,0.05555555555555555,0.05903418411364879,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910046,4.0,180.0,26.832815729997478,4.25,175.0,27.271780286589287,743.75,0.0625,0.027777777777777776,0.016359243137538986,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910047,4.0,180.0,26.832815729997478,4.0,190.0,27.568097504180443,760.0,0.0,0.05555555555555555,0.02740233382816267,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910048,4.0,180.0,26.832815729997478,4.25,200.0,29.154759474226502,850.0,0.0625,0.1111111111111111,0.08653373420044139,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910049,4.0,180.0,26.832815729997478,4.0,175.0,26.457513110645905,700.0,0.0,0.027777777777777776,0.013986702816730727,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910050,4.0,180.0,26.832815729997478,4.0,200.0,28.284271247461902,800.0,0.0,0.1111111111111111,0.054092553389459765,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|eta_only|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910051,4.0,180.0,26.832815729997478,4.0,175.0,26.457513110645905,700.0,0.0,0.027777777777777776,0.013986702816730727,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910052,4.0,180.0,26.832815729997478,3.5,185.0,25.446021299998947,647.5,0.125,0.027777777777777776,0.05168277693824648,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910053,4.0,180.0,26.832815729997478,4.0,175.0,26.457513110645905,700.0,0.0,0.027777777777777776,0.013986702816730727,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|eta_only,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910054,4.0,180.0,26.832815729997478,3.5,185.0,25.446021299998947,647.5,0.125,0.027777777777777776,0.05168277693824648,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910055,4.0,180.0,26.832815729997478,4.0,165.0,25.69046515733026,660.0,0.0,0.08333333333333333,0.04257289224366191,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910056,4.0,180.0,26.832815729997478,4.25,155.0,25.666125535421198,658.75,0.0625,0.1388888888888889,0.043479976395916956,True,True,True,True,5,0.8333333333333334,eta_only|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910057,4.0,180.0,26.832815729997478,4.25,170.0,26.879360111431225,722.5,0.0625,0.05555555555555555,0.0017346066809423133,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910058,4.0,180.0,26.832815729997478,3.75,190.0,26.692695630078276,712.5,0.0625,0.05555555555555555,0.005221967807223284,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|zeta_only,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910059,4.0,180.0,26.832815729997478,4.25,165.0,26.48112535373072,701.25,0.0625,0.08333333333333333,0.013106726472749086,True,True,True,True,4,0.6666666666666666,full_reciprocal|full_reciprocal|full_reciprocal|eta_only|full_reciprocal|generic_hidden_oscillator,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910060,4.0,180.0,26.832815729997478,4.0,180.0,26.832815729997478,720.0,0.0,0.0,0.0,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
