seed,heldout_condition,model,heldout_loss,train_loss
910004,doublet_EY,generic_hidden_oscillator,13.709167104402553,70.92022840972099
910004,doublet_EY,null_no_coupling,11.2272603620613,124.27725428100736
910004,doublet_EY,replay_only_basis,6.828911633966431,20.72554412299933
910004,orthogonal_trap,full_reciprocal,0.3533380735007707,2.1294789896698108
910004,orthogonal_trap,eta_only,23.35312330225517,42.69764739662135
910004,orthogonal_trap,zeta_only,13.484908455166353,60.053821324125025
910004,orthogonal_trap,generic_hidden_oscillator,27.30932053594994,51.744379856943084
910004,orthogonal_trap,null_no_coupling,43.38758316235837,92.11693148071028
910004,orthogonal_trap,replay_only_basis,5.27921997071031,23.684916794585362
910004,counterphase,full_reciprocal,0.30758041111242884,2.122322004598148
910004,counterphase,eta_only,4.805794522328622,60.53654645188952
910004,counterphase,zeta_only,9.845738487256252,62.15342880264291
910004,counterphase,generic_hidden_oscillator,18.404014484564872,59.7671058311016
910004,counterphase,null_no_coupling,22.443173891865055,113.06134075120359
910004,counterphase,replay_only_basis,2.2865358284303134,21.809026740400853
910004,lagged_E_to_Y,full_reciprocal,0.6241597324407806,1.852160837435637
910004,lagged_E_to_Y,eta_only,26.148396160440512,38.90278023946092
910004,lagged_E_to_Y,zeta_only,2.240131616498572,70.21655879116412
910004,lagged_E_to_Y,generic_hidden_oscillator,11.73525431597138,66.43586599969508
910004,lagged_E_to_Y,null_no_coupling,25.20047941489179,110.30403522817686
910004,lagged_E_to_Y,replay_only_basis,12.133538116827692,16.10452576054525
910004,recovery_probe,full_reciprocal,0.09979255353174588,2.3301098621788308
910004,recovery_probe,eta_only,2.1901397664733637,62.81900310808642
910004,recovery_probe,zeta_only,1.1010444039042164,70.68171501166921
910004,recovery_probe,generic_hidden_oscillator,0.7959015332474277,77.38856233755577
910004,recovery_probe,null_no_coupling,2.3258415768956566,133.178673066173
910004,recovery_probe,replay_only_basis,0.5822854913249111,21.61154950709207
910004,lagged_Y_to_E,full_reciprocal,1.3339712161795303,1.3408787723068405
910004,lagged_Y_to_E,eta_only,7.006673889659114,61.96495286160885
910004,lagged_Y_to_E,zeta_only,32.60670189231037,39.20619692869279
910004,lagged_Y_to_E,generic_hidden_oscillator,17.521243809736685,60.64987650592978
910004,lagged_Y_to_E,null_no_coupling,30.920176234996497,104.58433840807216
910004,lagged_Y_to_E,replay_only_basis,20.54683926140196,15.211169615452208
910005,doublet_EY,full_reciprocal,0.1853706452521299,3.720766816287012
910005,doublet_EY,eta_only,18.329476454895115,56.86401402491369
910005,doublet_EY,zeta_only,12.910660627586168,50.93239793237277
910005,doublet_EY,generic_hidden_oscillator,12.457653715537921,68.00897835726317
910005,doublet_EY,null_no_coupling,11.594085723055594,122.05922283368443
910005,doublet_EY,replay_only_basis,6.110662993063609,17.407774845135187
910005,orthogonal_trap,full_reciprocal,1.2232156714795384,2.6602114493629943
910005,orthogonal_trap,eta_only,21.080733747886104,53.930138771760205
910005,orthogonal_trap,zeta_only,12.729893856996272,51.125336892979014
910005,orthogonal_trap,generic_hidden_oscillator,21.62872976380217,54.06236165680471
910005,orthogonal_trap,null_no_coupling,39.19330273890845,94.46000581783159
910005,orthogonal_trap,replay_only_basis,4.606764246835223,19.691183179881225
