trial_id,generator,generator_type,fold,model,raw_loss,K_hat_scaled,complexity_weight,selected_penalty,penalized_loss
236,generic_hidden_null,null,3,full_reciprocal,0.9921139580276497,0.20640308369653598,1.0,0.04,1.0321139580276497
236,generic_hidden_null,null,3,eta_only,0.9257460594279553,0.20640308369653598,0.35,0.04,0.9397460594279553
236,generic_hidden_null,null,3,zeta_only,0.9440848255462487,0.20640308369653598,0.35,0.04,0.9580848255462487
236,generic_hidden_null,null,3,null_no_coupling,0.9864865841985802,0.20640308369653598,0.0,0.04,0.9864865841985802
236,generic_hidden_null,null,3,replay_only_basis,1.1721924556714065,0.20640308369653598,0.25,0.04,1.1821924556714065
236,generic_hidden_null,null,3,standard_ping,0.9509884587150954,0.20640308369653598,0.2,0.04,0.9589884587150954
236,generic_hidden_null,null,3,sensory_drive_only,1.003683304614018,0.20640308369653598,0.2,0.04,1.011683304614018
236,generic_hidden_null,null,3,generic_hidden_oscillator,0.9421766458223902,0.20640308369653598,0.65,0.04,0.9681766458223903
236,generic_hidden_null,null,3,colored_noise_alt,0.9819086154112124,0.20640308369653598,0.5,0.04,1.0019086154112125
236,generic_hidden_null,null,4,full_reciprocal,0.9810867709393037,0.20640308369653598,1.0,0.04,1.0210867709393037
236,generic_hidden_null,null,4,eta_only,0.9430468300942683,0.20640308369653598,0.35,0.04,0.9570468300942683
236,generic_hidden_null,null,4,zeta_only,0.950145894144368,0.20640308369653598,0.35,0.04,0.964145894144368
236,generic_hidden_null,null,4,null_no_coupling,0.9704468497869236,0.20640308369653598,0.0,0.04,0.9704468497869236
236,generic_hidden_null,null,4,replay_only_basis,0.9549942753620485,0.20640308369653598,0.25,0.04,0.9649942753620485
236,generic_hidden_null,null,4,standard_ping,1.0166376877622254,0.20640308369653598,0.2,0.04,1.0246376877622254
236,generic_hidden_null,null,4,sensory_drive_only,0.8846438564321543,0.20640308369653598,0.2,0.04,0.8926438564321543
236,generic_hidden_null,null,4,generic_hidden_oscillator,0.9142499404359208,0.20640308369653598,0.65,0.04,0.9402499404359208
236,generic_hidden_null,null,4,colored_noise_alt,0.8995758937841639,0.20640308369653598,0.5,0.04,0.9195758937841639
236,generic_hidden_null,null,5,full_reciprocal,1.1837766300881325,0.20640308369653598,1.0,0.04,1.2237766300881325
236,generic_hidden_null,null,5,eta_only,1.0313982503860855,0.20640308369653598,0.35,0.04,1.0453982503860855
236,generic_hidden_null,null,5,zeta_only,0.9622158124728658,0.20640308369653598,0.35,0.04,0.9762158124728658
236,generic_hidden_null,null,5,null_no_coupling,0.960929954610829,0.20640308369653598,0.0,0.04,0.960929954610829
236,generic_hidden_null,null,5,replay_only_basis,1.0813228980058025,0.20640308369653598,0.25,0.04,1.0913228980058025
236,generic_hidden_null,null,5,standard_ping,0.9876897355333425,0.20640308369653598,0.2,0.04,0.9956897355333425
236,generic_hidden_null,null,5,sensory_drive_only,1.014426386422472,0.20640308369653598,0.2,0.04,1.022426386422472
236,generic_hidden_null,null,5,generic_hidden_oscillator,0.9819117578420373,0.20640308369653598,0.65,0.04,1.0079117578420373
236,generic_hidden_null,null,5,colored_noise_alt,0.9853801903847159,0.20640308369653598,0.5,0.04,1.005380190384716
237,generic_hidden_null,null,0,full_reciprocal,1.0850571428331668,0.11391638071787175,1.0,0.04,1.1250571428331668
237,generic_hidden_null,null,0,eta_only,1.0358553012942293,0.11391638071787175,0.35,0.04,1.0498553012942293
237,generic_hidden_null,null,0,zeta_only,1.1533750334759145,0.11391638071787175,0.35,0.04,1.1673750334759145
237,generic_hidden_null,null,0,null_no_coupling,1.033483038374404,0.11391638071787175,0.0,0.04,1.033483038374404
237,generic_hidden_null,null,0,replay_only_basis,1.17619162248331,0.11391638071787175,0.25,0.04,1.18619162248331
237,generic_hidden_null,null,0,standard_ping,0.9970651855802434,0.11391638071787175,0.2,0.04,1.0050651855802433
237,generic_hidden_null,null,0,sensory_drive_only,1.0836151203406574,0.11391638071787175,0.2,0.04,1.0916151203406574
237,generic_hidden_null,null,0,generic_hidden_oscillator,1.125766989288046,0.11391638071787175,0.65,0.04,1.151766989288046
237,generic_hidden_null,null,0,colored_noise_alt,0.9481267233066095,0.11391638071787175,0.5,0.04,0.9681267233066095
237,generic_hidden_null,null,1,full_reciprocal,1.0166445098474277,0.11391638071787175,1.0,0.04,1.0566445098474277
