condition,roi_group,band_hz,log10_power,z_by_band_roi
WASHOUT_1,task_frontal,25-30,-0.22827886810380915,-0.6815523311774397
TARGET_1,task_frontal,25-30,-0.26543168442248183,-0.8162847064051532
WASHOUT_2,task_frontal,25-30,-0.2035257218490474,-0.5917865874271642
CONTEXTUAL_OVERRIDE_1,task_frontal,25-30,0.10077732034329537,0.511749449031732
WASHOUT_3,task_frontal,25-30,-0.14124735608679717,-0.36593797147093354
BASELINE_2_REFLECTION,task_frontal,25-30,-0.006685718232300633,0.1220414303370483
BASELINE_1,task_frontal,30-35,0.498964702929161,2.3845586809662462
CONTROL_1,task_frontal,30-35,-0.3195650888636071,-0.6897612694323578
WASHOUT_1,task_frontal,30-35,-0.31669639215295003,-0.6789867177695531
TARGET_1,task_frontal,30-35,-0.3472496543491893,-0.7937418610294319
WASHOUT_2,task_frontal,30-35,-0.2743659718042377,-0.5199976900131231
CONTEXTUAL_OVERRIDE_1,task_frontal,30-35,-0.021701374693635946,0.42898647579865495
WASHOUT_3,task_frontal,30-35,-0.25370249229644465,-0.44238762873933113
BASELINE_2_REFLECTION,task_frontal,30-35,-0.05302710650680846,0.3113300102188967
BASELINE_1,task_frontal,35-40,0.5218880115613889,2.4021254229135756
CONTROL_1,task_frontal,35-40,-0.3962792654767305,-0.5849687804719677
WASHOUT_1,task_frontal,35-40,-0.4367319319169236,-0.7165743478417717
TARGET_1,task_frontal,35-40,-0.46571870584889874,-0.8108776698533829
WASHOUT_2,task_frontal,35-40,-0.38825417811991103,-0.5588605837144581
CONTEXTUAL_OVERRIDE_1,task_frontal,35-40,-0.14099038626348126,0.24556825821083147
WASHOUT_3,task_frontal,35-40,-0.34026981262175005,-0.40275197080999364
BASELINE_2_REFLECTION,task_frontal,35-40,-0.08542521654784248,0.4263396715671666
BASELINE_1,task_frontal,40-45,0.2912017411317218,2.36135959022183
CONTROL_1,task_frontal,40-45,-0.4618419916457179,-0.5809728392380208
WASHOUT_1,task_frontal,40-45,-0.4903870195256398,-0.6925054867791597
TARGET_1,task_frontal,40-45,-0.5627304007149452,-0.9751693843259689
WASHOUT_2,task_frontal,40-45,-0.4515586227677864,-0.5407931147191816
CONTEXTUAL_OVERRIDE_1,task_frontal,40-45,-0.25771714081706076,0.21659460885243323
WASHOUT_3,task_frontal,40-45,-0.3842476020257538,-0.2777919229306817
BASELINE_2_REFLECTION,task_frontal,40-45,-0.1879279728630869,0.48927854891874817
BASELINE_1,task_frontal,45-50,0.313330136088062,2.3906212647350897
CONTROL_1,task_frontal,45-50,-0.5493980703290672,-0.6159927024626113
WASHOUT_1,task_frontal,45-50,-0.5989451307540276,-0.7886645622664483
