condition,phase_time_sec,NIP_resid
TARGET_1,84.0,0.025393731796458638
TARGET_1,85.0,-0.07844910031341762
TARGET_1,86.0,0.011735405980933991
TARGET_1,87.0,0.0282242595891274
TARGET_1,88.0,-0.09391172494078646
TARGET_1,89.0,-0.03639401428374982
TARGET_1,90.0,-0.018365383885785402
TARGET_1,91.0,-0.040909014534528984
TARGET_1,92.0,0.05772356772033518
TARGET_1,93.0,-0.0007571406499758959
TARGET_1,94.0,-0.05203232867250968
TARGET_1,95.0,-0.007306802552190669
TARGET_1,96.0,0.02548621836961873
TARGET_1,97.0,-0.05247430208315
TARGET_1,98.0,-0.04463834957400799
TARGET_1,99.0,0.01525335893380797
TARGET_1,100.0,-0.06411018218199625
TARGET_1,101.0,-0.02222188247144085
TARGET_1,102.0,0.0014851433215565674
TARGET_1,103.0,-0.09541528363095811
TARGET_1,104.0,-0.10161862222353732
TARGET_1,105.0,-0.01956993118527793
TARGET_1,106.0,0.18057269081956512
TARGET_1,107.0,-0.10698573981002003
TARGET_1,108.0,-0.04278596723848753
TARGET_1,109.0,-0.15636349194943075
TARGET_1,110.0,-0.05899090718158541
TARGET_1,111.0,-0.07557697567317302
TARGET_1,112.0,0.006943636174988735
TARGET_1,113.0,0.05995959346736375
TARGET_1,114.0,0.1351942884716461
TARGET_1,115.0,-0.09996455282023672
TARGET_1,116.0,-0.016175087886416008
TARGET_1,117.0,-0.019093474581689446
TARGET_1,118.0,-0.07370015726684573
TARGET_1,119.0,-0.08284779160840103
TARGET_1,120.0,-0.020846213718495717
TARGET_1,121.0,-0.04671142211839639
TARGET_1,122.0,-0.04275225738631989
TARGET_1,123.0,-0.043743004096247845
TARGET_1,124.0,0.3289425607667259
TARGET_1,125.0,-0.001857743164998607
TARGET_1,126.0,-0.054606042947130444
TARGET_1,127.0,0.7684597636503075
TARGET_1,128.0,-0.12118189922698111
TARGET_1,129.0,-0.04064897232848737
TARGET_1,130.0,-0.19090930559570252
TARGET_1,131.0,-0.1491530574397793
TARGET_1,132.0,-0.08005294038467739
TARGET_1,133.0,-0.19346005458904686
TARGET_1,134.0,-0.06816077278543524
TARGET_1,135.0,-0.07893932108078602
TARGET_1,136.0,-0.20289752991590415
TARGET_1,137.0,-0.2063710729613319
TARGET_1,138.0,-0.0870238266132985
TARGET_1,139.0,-0.47320355803787767
TARGET_1,140.0,-0.3089896656804949
TARGET_1,141.0,0.13520190581206337
TARGET_1,142.0,-0.22880420350188302
TARGET_1,143.0,-0.24054033712346634
TARGET_1,144.0,-0.07213132961107682
TARGET_1,145.0,-0.2308769569651651
TARGET_1,146.0,0.820244513207653
TARGET_1,147.0,-0.04175300958347973
TARGET_1,148.0,-0.10415938395291369
TARGET_1,149.0,-0.2248724069745166
TARGET_1,150.0,-0.10248618600806424
TARGET_1,151.0,-0.14317264556603848
TARGET_1,152.0,0.4304979193174706
TARGET_1,153.0,1.0490761562760433
TARGET_1,154.0,1.5703391073300126
TARGET_1,155.0,0.06479566364098557
TARGET_1,156.0,-0.10775227508798396
TARGET_1,157.0,1.2786898891932235
TARGET_1,158.0,-0.07773893847492838
TARGET_1,159.0,-0.04820597340502712
TARGET_1,160.0,-0.1877829919455022
TARGET_1,161.0,-0.07402075857638891
TARGET_1,162.0,-0.22846865853446907
TARGET_1,163.0,-0.43402464284849357
TARGET_1,164.0,-0.02471309224404207
TARGET_1,165.0,-0.006735258108645739
TARGET_1,166.0,0.26438879678238014
TARGET_1,167.0,-0.04358703289358325
TARGET_1,168.0,-0.08142929140498326
TARGET_1,169.0,-0.1547519172334196
TARGET_1,170.0,-0.09131281820023487
TARGET_1,171.0,0.016434156868573885
TARGET_1,172.0,-0.03413138493506256
TARGET_1,173.0,-0.0032877506453402733
TARGET_1,174.0,0.05738054667114255
TARGET_1,175.0,-0.016960511683083393
TARGET_1,176.0,0.11338235160468974
TARGET_1,177.0,0.08486449751056856
TARGET_1,178.0,-0.1056702143643658
TARGET_1,179.0,-0.02990765257158401
TARGET_1,180.0,0.039457194751426714
TARGET_1,181.0,-0.030727729277809382
TARGET_1,182.0,0.037379507338036605
TARGET_1,183.0,0.010779625669540854
TARGET_1,184.0,0.4748354270898737
TARGET_1,185.0,-0.023343635796861863
TARGET_1,186.0,0.026028018462352004
TARGET_1,187.0,-0.011726274288807362
TARGET_1,188.0,0.09727892937029392
TARGET_1,189.0,0.07137517312385726
TARGET_1,190.0,-0.002793774122818657
TARGET_1,191.0,-0.03486874171745426
TARGET_1,192.0,0.055779973542371006
TARGET_1,193.0,-0.05472489463275328
TARGET_1,194.0,0.5230603810217754
TARGET_1,195.0,-0.005935437783859632
TARGET_1,196.0,-0.20632039161417498
TARGET_1,197.0,-0.23680792855142774
TARGET_1,198.0,-0.21473642579984165
TARGET_1,199.0,0.025220032301472184
TARGET_1,200.0,0.08343306582075301
