run,phase,start,end,time,phase_time,alpha_proxy_z,theta_primary_z,theta_task_z,meaning_gamma_z,tsp_z,task_gamma_z,visual_gamma_z,artifact_z,api_a_z,resp_z,valid,row_id,MR_score,ENC_score,NIP_attention_semantic,NIP_resonance_integration,artifact_penalty,NIP_density,MR_high,ENC_high,MRED_quadrant
Arrival_Run1,CONTROL_1,343988.5639806,343990.5639806,343989.5639806,273.0,-0.6046422186189888,-0.2144550452339221,0.3720288677920798,-1.2140845511340217,-0.7094558392768537,1.266283017040002,-0.0701127443394018,0.5743822763510695,0.0,0.0,True,387,-0.8113588670452824,-0.34053363926055835,0.0,0.0,0.8914762742990955,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343989.5639806,343991.5639806,343990.5639806,274.0,-0.5575065486080361,-1.807727513051548,-0.8166396648799612,-0.8986587301543711,-0.9239239790914022,0.0067601114885451,-0.5308615661644186,-0.2900640695329199,0.0,0.0,True,388,-0.6925814295133939,-1.2923768746774993,0.0,0.0,1.0,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343990.5639806,343992.5639806,343991.5639806,275.0,-0.6107911329484785,-0.110995659080172,0.1303362702758271,0.0576973001431381,-0.9577727494019644,-1.1666063707195162,-2.272583751927687,0.0758734371647896,0.0,0.0,True,389,-0.3526509519214246,-0.04150045085041639,0.0,0.0,0.9849398679569719,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343991.5639806,343993.5639806,343992.5639806,276.0,-1.1297361944030957,-0.4551482115338188,0.1612061023111163,-0.5064684840574933,-0.8687541090164734,-0.3435184145170825,-1.020276467376089,0.7558104415090188,0.0,0.0,True,390,-0.62839804717937,-0.44522265679180484,0.0,0.0,0.8597083387005345,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343992.5639806,343994.5639806,343993.5639806,277.0,-0.9363338693488192,-0.0157554028839961,0.6623649238423482,-0.505347666385489,-1.070409391483116,0.1950822409489785,-0.5408735283596738,0.8011356085600735,0.0,0.0,True,391,-0.7109466671884802,-0.11222175848756623,0.0,0.0,0.8519502705869233,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343993.5639806,343995.5639806,343994.5639806,278.0,0.1318940273376654,-0.5848059762226723,-0.1408239893178129,0.3563345098019345,-1.1363713272422744,-0.7940849670868122,-0.7024567122380734,0.8657213154212906,0.0,0.0,True,392,-0.41761497478630993,-0.46950217140000033,0.0,0.0,0.8410162784904089,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343994.5639806,343996.5639806,343995.5639806,279.0,0.5594753472089048,-0.2943381103713523,0.0555618948151988,0.6684616933301999,-0.7091106084230916,-0.894335934816388,-0.7784060379397775,0.6669960635406228,0.0,0.0,True,393,-0.10882603663098608,-0.18390354044979862,0.0,0.0,0.8751156650709796,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343995.5639806,343997.5639806,343996.5639806,280.0,2.5036794790479986,-0.6461072046014864,-1.1258475670224777,0.2780618748805595,-0.9910368263398232,-1.1283073503133056,-1.5227659063922068,0.5081518587867341,0.0,0.0,True,394,-0.34207174178466293,-0.6404495664605759,0.0,0.0,0.9033633985909486,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343996.5639806,343998.5639806,343997.5639806,281.0,2.352104987796706,1.424422661381593,-0.1466987514553616,-0.2770404340056331,-0.6495859240506521,0.0320650564452425,-0.7932470780613557,0.3711946310898478,0.0,0.0,True,395,-0.4040852644139671,0.6382977221499894,0.0,0.6382977221499894,0.9284498363305856,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,343997.5639806,343999.5639806,343998.5639806,282.0,2.15704617490252,-0.2905698567753337,-0.7576032582426929,-0.477383965178685,-0.8144440478084494,-0.6381135186782317,-1.4983992405358038,0.2937614811910932,0.0,0.0,True,396,-0.5320212523018641,-0.44169396388999355,0.0,0.0,0.9429403100933669,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343998.5639806,344000.5639806,343999.5639806,283.0,2.4940991193171618,0.062993531483517,-1.1625534730967986,-0.4198988827757183,-0.6369870011022335,0.1403762599164855,-0.6233772690877698,-0.1791757189753839,0.0,0.0,True,397,-0.4016166358736217,-0.2608490847197831,0.0,0.0,1.0,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,343999.5639806,344001.5639806,344000.5639806,284.0,2.595077663432683,1.115652692672734,0.6973331961380835,-0.7464771333152453,-0.8474475922525571,0.1218248831935829,-0.7404142038941677,0.1738208469187192,0.0,0.0,True,398,-0.6300263142843856,0.6063398808165897,0.0,0.6063398808165897,0.9658331624316475,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344000.5639806,344002.5639806,344001.5639806,285.0,2.396870552200172,1.0952772467310066,-0.0171954337052841,-0.0588567218556115,-0.9008592566040656,-0.1964927027921673,-0.7915575640604993,-0.4270297970267215,0.0,0.0,True,399,-0.36469207181467733,0.5901348906826551,0.0,0.5901348906826551,1.0,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344001.5639806,344003.5639806,344002.5639806,286.0,3.20496047785037,2.8658820053287,0.1463636309273169,-0.1591611166439873,-0.8030488361475645,-0.0792548883900095,-0.6737732012515418,-0.7239957016548981,0.0,0.0,True,400,-0.36563978206078973,1.5816336616196505,0.0,1.5816336616196505,1.0,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344002.5639806,344004.5639806,344003.5639806,287.0,1.7826849028117089,2.9731919661248605,1.9987790697825167,-0.1768188985846122,-0.5654273248544873,-0.4606849954594589,-0.7499852225533887,0.6704044821036744,0.0,0.0,True,401,-0.37591019240137225,1.8744076641167502,0.0,1.8744076641167502,0.8745193162591798,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344003.5639806,344005.5639806,344004.5639806,288.0,2.505756118411808,3.0588731841498955,2.94041895140268,0.8126026655118719,-0.7713781481237497,-0.7353301314371387,-1.1345636244924655,2.248842268673206,0.0,0.0,True,402,-0.29917260100676246,1.942585987655118,0.0,1.942585987655118,0.6377758091330819,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344004.5639806,344006.5639806,344005.5639806,289.0,4.358401787570996,6.302000221779974,4.743600792226741,-0.3610114626364352,-0.9701077872807844,-0.1793794089963914,0.0482160765558486,2.2342481173695656,0.0,0.0,True,403,-0.8234416590558674,3.913818937554957,0.0,3.913818937554957,0.6396400878974048,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344005.5639806,344007.5639806,344006.5639806,290.0,3.1109347466456305,3.068895503683112,3.3539297396908934,-0.5307937179831433,-0.8392898350900972,0.0901978694980192,-0.4413450710160688,2.1187911259700343,0.0,0.0,True,404,-0.8172625078036363,1.855301192072412,0.0,1.855301192072412,0.6545821242446785,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344006.5639806,344008.5639806,344007.5639806,291.0,1.1362787987908132,1.4490662676498578,1.7076667183090457,-0.4572027698683918,-0.7022806786498533,-0.4434597834065629,-1.3318303722807552,-0.2683725878049702,0.0,0.0,True,405,-0.44060371043693314,1.0699393753889723,0.0,1.0699393753889723,1.0,0.0,False,True,MR_LOW_ENC_HIGH
Arrival_Run1,CONTROL_1,344007.5639806,344009.5639806,344008.5639806,292.0,0.1279621783514904,0.5144466731463205,0.9497076175347496,-0.6023920824129925,-0.6109349812704882,0.3153600023105348,-1.311102137475692,1.4126789970250129,0.0,0.0,True,406,-0.6588393437832245,0.09999258197047484,0.0,0.09999258197047484,0.7538696533911955,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,344008.5639806,344010.5639806,344009.5639806,293.0,-0.1554478670708534,-1.1866681812404225,-1.188746218675009,-0.4341605822183627,-0.8579604953270129,-0.1382346273495556,-1.671333711698518,2.5406487965737705,0.0,0.0,True,407,-0.8466968409875706,-1.4636705900647429,0.0,0.0,0.6016197009368743,0.0,False,False,MR_LOW_ENC_LOW
Arrival_Run1,CONTROL_1,344009.5639806,344011.5639806,344010.5639806,294.0,1.1852548939301124,-0.8609324640708446,-1.6980456624420817,0.1178060282081828,-0.9323166612715784,-0.1416591671156511,-0.9239944936735286,2.360504100750038,0.0,0.0,True,408,-0.6399846146690956,-1.267551903646161,0.0,0.0,0.6236906291650399,0.0,False,False,MR_LOW_ENC_LOW
