run,phase,phase_time,NIP_density,cue_on,cue_value,cue_onset_impulse,cue_phase_sin,cue_phase_cos
Arrival_Run1,BASELINE_1,110.0,0.0,0.0,0.0,0.0,-0.866025403784446,-0.4999999999999873
Arrival_Run1,BASELINE_1,111.0,0.0,0.0,0.0,0.0,-1.9569589560894117e-15,1.0
Arrival_Run1,BASELINE_1,112.0,0.0,0.0,0.0,0.0,0.8660254037844479,-0.4999999999999839
Arrival_Run1,BASELINE_1,113.0,0.0,0.0,0.0,0.0,-0.8660254037844353,-0.5000000000000059
Arrival_Run1,BASELINE_1,114.0,0.0,0.0,0.0,0.0,-2.3518170388721888e-14,1.0
Arrival_Run1,BASELINE_1,115.0,0.0,0.0,0.0,0.0,0.8660254037844303,-0.5000000000000144
Arrival_Run1,CONTROL_1,1.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998
Arrival_Run1,CONTROL_1,2.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
Arrival_Run1,CONTROL_1,3.0,0.0,1.0,8.0,1.0,-2.4492935982947064e-16,1.0
Arrival_Run1,CONTROL_1,4.0,0.0,0.0,0.0,0.0,0.8660254037844392,-0.4999999999999992
Arrival_Run1,CONTROL_1,5.0,0.0,0.0,0.0,0.0,-0.8660254037844387,-0.49999999999999983
Arrival_Run1,CONTROL_1,6.0,0.0,1.0,9.0,1.0,-4.898587196589413e-16,1.0
Arrival_Run1,CONTROL_1,7.0,0.0,0.0,0.0,0.0,0.8660254037844393,-0.499999999999999
Arrival_Run1,CONTROL_1,8.0,0.0,0.0,0.0,0.0,-0.8660254037844377,-0.5000000000000016
Arrival_Run1,CONTROL_1,9.0,0.020335693109807883,1.0,1.0,1.0,-7.347880794884119e-16,1.0
Arrival_Run1,CONTROL_1,10.0,0.0,0.0,0.0,0.0,0.8660254037844385,-0.5000000000000003
Arrival_Run1,CONTROL_1,11.0,0.1650818203126006,0.0,0.0,0.0,-0.8660254037844376,-0.5000000000000018
Arrival_Run1,CONTROL_1,12.0,0.0,1.0,7.0,1.0,-9.797174393178826e-16,1.0
Arrival_Run1,CONTROL_1,13.0,0.0048603794081795776,0.0,0.0,0.0,0.8660254037844386,-0.5000000000000001
Arrival_Run1,CONTROL_1,14.0,0.0,0.0,0.0,0.0,-0.8660254037844375,-0.500000000000002
Arrival_Run1,CONTROL_1,15.0,0.0,1.0,7.0,1.0,-4.777360477947854e-15,1.0
Arrival_Run1,CONTROL_1,16.0,0.004155549519599571,0.0,0.0,0.0,0.8660254037844405,-0.49999999999999684
Arrival_Run1,CONTROL_1,17.0,0.5680023439982942,0.0,0.0,0.0,-0.8660254037844392,-0.49999999999999917
Arrival_Run1,CONTROL_1,18.0,0.3490782811310279,1.0,3.0,1.0,-1.4695761589768238e-15,1.0
Arrival_Run1,CONTROL_1,19.0,0.0,0.0,0.0,0.0,0.8660254037844406,-0.4999999999999966
Arrival_Run1,CONTROL_1,20.0,0.0,0.0,0.0,0.0,-0.866025403784439,-0.4999999999999994
Arrival_Run1,CONTROL_1,21.0,0.0,1.0,8.0,1.0,-1.7145055188062944e-15,1.0
Arrival_Run1,CONTROL_1,22.0,0.0,0.0,0.0,0.0,0.8660254037844407,-0.4999999999999964
Arrival_Run1,CONTROL_1,23.0,0.0,0.0,0.0,0.0,-0.8660254037844354,-0.5000000000000058
Arrival_Run1,CONTROL_1,24.0,0.0,1.0,4.0,1.0,-1.959434878635765e-15,1.0
Arrival_Run1,CONTROL_1,25.0,0.024848567712401053,0.0,0.0,0.0,0.8660254037844373,-0.5000000000000023
Arrival_Run1,CONTROL_1,26.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.4999999999999998
Arrival_Run1,CONTROL_1,27.0,0.21441210840506783,1.0,9.0,1.0,-2.204364238465236e-15,1.0
Arrival_Run1,CONTROL_1,28.0,0.0,0.0,0.0,0.0,0.8660254037844409,-0.49999999999999595
Arrival_Run1,CONTROL_1,29.0,0.0,0.0,0.0,0.0,-0.8660254037844386,-0.5
Arrival_Run1,CONTROL_1,30.0,0.0,1.0,5.0,1.0,-9.554720955895708e-15,1.0
Arrival_Run1,CONTROL_1,31.0,0.0,0.0,0.0,0.0,0.8660254037844412,-0.4999999999999958
Arrival_Run1,CONTROL_1,32.0,0.0,0.0,0.0,0.0,-0.8660254037844349,-0.5000000000000063
Arrival_Run1,CONTROL_1,33.0,0.0,1.0,1.0,1.0,4.411204399476825e-15,1.0
Arrival_Run1,CONTROL_1,34.0,0.0,0.0,0.0,0.0,0.8660254037844377,-0.5000000000000017
Arrival_Run1,CONTROL_1,35.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
Arrival_Run1,CONTROL_1,36.0,0.14321694135924296,1.0,4.0,1.0,-2.9391523179536475e-15,1.0
Arrival_Run1,CONTROL_1,37.0,0.0161049375177565,0.0,0.0,0.0,0.8660254037844414,-0.49999999999999534
Arrival_Run1,CONTROL_1,38.0,0.0,0.0,0.0,0.0,-0.8660254037844347,-0.5000000000000068
Arrival_Run1,CONTROL_1,39.0,0.0,1.0,10.0,1.0,-1.028950903538412e-14,1.0
Arrival_Run1,CONTROL_1,40.0,0.4696007508766568,0.0,0.0,0.0,0.8660254037844379,-0.5000000000000012
Arrival_Run1,CONTROL_1,41.0,0.0,0.0,0.0,0.0,-0.866025403784431,-0.5000000000000131
Arrival_Run1,CONTROL_1,42.0,2.0146464327132976,1.0,10.0,1.0,-3.429011037612589e-15,1.0
Arrival_Run1,CONTROL_1,43.0,0.15069127278380323,0.0,0.0,0.0,0.8660254037844416,-0.4999999999999949
Arrival_Run1,CONTROL_1,44.0,0.07427378380631643,0.0,0.0,0.0,-0.8660254037844345,-0.5000000000000072
Arrival_Run1,CONTROL_1,45.0,0.0,1.0,6.0,1.0,3.4314869601589423e-15,1.0
Arrival_Run1,CONTROL_1,46.0,0.0,0.0,0.0,0.0,0.8660254037844453,-0.49999999999998856
Arrival_Run1,CONTROL_1,47.0,0.0,0.0,0.0,0.0,-0.8660254037844379,-0.5000000000000012
Arrival_Run1,CONTROL_1,48.0,0.0,1.0,6.0,1.0,-3.91886975727153e-15,1.0
Arrival_Run1,CONTROL_1,49.0,0.0,0.0,0.0,0.0,0.8660254037844418,-0.4999999999999945
Arrival_Run1,CONTROL_1,50.0,0.0,0.0,0.0,0.0,-0.8660254037844414,-0.49999999999999534
Arrival_Run1,CONTROL_1,51.0,0.0,1.0,4.0,1.0,-1.1269226474702003e-14,1.0
Arrival_Run1,CONTROL_1,52.0,0.0,0.0,0.0,0.0,0.8660254037844384,-0.5000000000000004
