phase,phase_time,time,feature_state_lz_proxy,complexity_z
TARGET_1,259.0,344450.7891736,3.7982171714360344,0.0
TARGET_1,260.0,344451.7891736,3.7982171714360344,0.0
TARGET_1,261.0,344452.7891736,3.9633570484549923,0.674499995915582
TARGET_1,262.0,344453.7891736,3.7982171714360344,0.0
TARGET_1,263.0,344454.7891736,3.9633570484549923,0.674499995915582
TARGET_1,264.0,344455.7891736,3.9633570484549923,0.674499995915582
TARGET_1,265.0,344456.7891736,3.9633570484549923,0.674499995915582
TARGET_1,266.0,344457.7891736,3.9633570484549923,0.674499995915582
TARGET_1,267.0,344458.7891736,3.9633570484549923,0.674499995915582
TARGET_1,268.0,344459.7891736,3.9633570484549923,0.674499995915582
TARGET_1,269.0,344460.7891736,3.7982171714360344,0.0
TARGET_1,270.0,344461.7891736,3.7982171714360344,0.0
TARGET_1,271.0,344462.7891736,3.7982171714360344,0.0
TARGET_1,272.0,344463.7891736,3.7982171714360344,0.0
TARGET_1,273.0,344464.7891736,3.7982171714360344,0.0
TARGET_1,274.0,344465.7891736,3.7982171714360344,0.0
TARGET_1,275.0,344466.7891736,3.7982171714360344,0.0
TARGET_1,276.0,344467.7891736,3.7982171714360344,0.0
TARGET_1,277.0,344468.7891736,3.7982171714360344,0.0
TARGET_1,278.0,344469.7891736,3.7982171714360344,0.0
TARGET_1,279.0,344470.7891736,3.7982171714360344,0.0
TARGET_1,280.0,344471.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,281.0,344472.7891736,3.4679374173981183,-1.3489999918311657
TARGET_1,282.0,344473.7891736,3.4679374173981183,-1.3489999918311657
TARGET_1,283.0,344474.7891736,3.3027975403791605,-2.0234999877467477
TARGET_1,284.0,344475.7891736,3.3027975403791605,-2.0234999877467477
TARGET_1,285.0,344476.7891736,3.3027975403791605,-2.0234999877467477
TARGET_1,286.0,344477.7891736,3.4679374173981183,-1.3489999918311657
TARGET_1,287.0,344478.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,288.0,344479.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,289.0,344480.7891736,3.7982171714360344,0.0
TARGET_1,290.0,344481.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,291.0,344482.7891736,3.7982171714360344,0.0
TARGET_1,292.0,344483.7891736,3.7982171714360344,0.0
TARGET_1,293.0,344484.7891736,3.7982171714360344,0.0
TARGET_1,294.0,344485.7891736,3.7982171714360344,0.0
TARGET_1,295.0,344486.7891736,3.7982171714360344,0.0
TARGET_1,296.0,344487.7891736,3.7982171714360344,0.0
TARGET_1,297.0,344488.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,298.0,344489.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,299.0,344490.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,300.0,344491.7891736,3.633077294417076,-0.6744999959155837
TARGET_1,301.0,344492.7891736,3.7982171714360344,0.0
TARGET_1,302.0,344493.7891736,3.7982171714360344,0.0
TARGET_1,303.0,344494.7891736,3.7982171714360344,0.0
TARGET_1,304.0,344495.7891736,3.9633570484549923,0.674499995915582
TARGET_1,305.0,344496.7891736,4.12849692547395,1.348999991831164
TARGET_1,306.0,344497.7891736,3.9633570484549923,0.674499995915582
TARGET_1,307.0,344498.7891736,3.9633570484549923,0.674499995915582
TARGET_1,308.0,344499.7891736,3.7982171714360344,0.0
WASHOUT_2,1.0,344509.3188335,3.7982171714360344,0.0
WASHOUT_2,2.0,344510.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,3.0,344511.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,4.0,344512.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,5.0,344513.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,6.0,344514.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,7.0,344515.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,8.0,344516.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,9.0,344517.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,10.0,344518.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,11.0,344519.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,12.0,344520.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,13.0,344521.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,14.0,344522.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,15.0,344523.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,16.0,344524.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,17.0,344525.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,18.0,344526.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,19.0,344527.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,20.0,344528.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,21.0,344529.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,22.0,344530.3188335,3.7982171714360344,0.0
WASHOUT_2,23.0,344531.3188335,3.7982171714360344,0.0
WASHOUT_2,24.0,344532.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,25.0,344533.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,26.0,344534.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,27.0,344535.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,28.0,344536.3188335,3.7982171714360344,0.0
WASHOUT_2,29.0,344537.3188335,3.7982171714360344,0.0
WASHOUT_2,30.0,344538.3188335,3.7982171714360344,0.0
WASHOUT_2,31.0,344539.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,32.0,344540.3188335,3.7982171714360344,0.0
WASHOUT_2,33.0,344541.3188335,3.7982171714360344,0.0
WASHOUT_2,34.0,344542.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,35.0,344543.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,36.0,344544.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,37.0,344545.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,38.0,344546.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,39.0,344547.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,40.0,344548.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,41.0,344549.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,42.0,344550.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,43.0,344551.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,44.0,344552.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,45.0,344553.3188335,3.3027975403791605,-2.0234999877467477
WASHOUT_2,46.0,344554.3188335,3.3027975403791605,-2.0234999877467477
WASHOUT_2,47.0,344555.3188335,3.3027975403791605,-2.0234999877467477
WASHOUT_2,48.0,344556.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,49.0,344557.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,50.0,344558.3188335,3.3027975403791605,-2.0234999877467477
WASHOUT_2,51.0,344559.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,52.0,344560.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,53.0,344561.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,54.0,344562.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,55.0,344563.3188335,3.7982171714360344,0.0
WASHOUT_2,56.0,344564.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,57.0,344565.3188335,3.7982171714360344,0.0
WASHOUT_2,58.0,344566.3188335,3.7982171714360344,0.0
WASHOUT_2,59.0,344567.3188335,3.7982171714360344,0.0
WASHOUT_2,60.0,344568.3188335,3.7982171714360344,0.0
WASHOUT_2,61.0,344569.3188335,3.7982171714360344,0.0
WASHOUT_2,62.0,344570.3188335,3.7982171714360344,0.0
WASHOUT_2,63.0,344571.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,64.0,344572.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,65.0,344573.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,66.0,344574.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,67.0,344575.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,68.0,344576.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,69.0,344577.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,70.0,344578.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,71.0,344579.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,72.0,344580.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,73.0,344581.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,74.0,344582.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,75.0,344583.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,76.0,344584.3188335,4.12849692547395,1.348999991831164
