phase,phase_time,time,blink_sentinel_z,ptp_median_z,blink_proxy_event
CONTROL_1,169.0,343885.5639806,0.3628974793491766,3.3752344412192072,0
CONTROL_1,170.0,343886.5639806,0.729954351371076,2.426564080627574,0
CONTROL_1,171.0,343887.5639806,-1.148219957203855,0.4367564086438144,0
CONTROL_1,172.0,343888.5639806,-0.5290397979241799,2.104661773115613,0
CONTROL_1,173.0,343889.5639806,-2.04807045123827,0.6739949090300666,0
CONTROL_1,174.0,343890.5639806,-0.6452231495817141,0.9001834820624682,0
CONTROL_1,175.0,343891.5639806,-0.5222885318007644,-0.3090654084299003,0
CONTROL_1,176.0,343892.5639806,0.3630085526507412,-0.723304916093469,0
CONTROL_1,177.0,343893.5639806,-0.4208266182964276,0.0491791505975655,0
CONTROL_1,178.0,343894.5639806,-0.8023747384016696,2.160388168083094,0
CONTROL_1,179.0,343895.5639806,-0.6319075895346787,3.0989741875451347,0
CONTROL_1,180.0,343896.5639806,-0.3719134742913336,0.3453878121734152,0
CONTROL_1,181.0,343897.5639806,0.8384933220412463,-0.2661058738212783,0
CONTROL_1,182.0,343898.5639806,-0.1435032804096794,-0.4025854517062239,0
CONTROL_1,183.0,343899.5639806,-0.3781185761887732,-0.3431837941726613,0
CONTROL_1,184.0,343900.5639806,-0.4193912542648139,-0.2191421738389371,0
CONTROL_1,185.0,343901.5639806,-0.6033034276784678,0.175903290160556,0
CONTROL_1,186.0,343902.5639806,0.0890143554493122,1.6831592465714544,0
CONTROL_1,187.0,343903.5639806,-0.8185393302071964,2.2704106834233744,0
CONTROL_1,188.0,343904.5639806,-0.0818104425969512,0.7149478347664028,0
CONTROL_1,189.0,343905.5639806,-0.3900409889824187,1.2160840676992766,0
CONTROL_1,190.0,343906.5639806,-0.5194844235680548,0.5762685307643197,0
CONTROL_1,191.0,343907.5639806,0.2740726963182031,-0.1736932372459004,0
CONTROL_1,192.0,343908.5639806,0.0509091343754838,-0.4710937943173184,0
CONTROL_1,193.0,343909.5639806,-0.1833852433209455,-0.3636904316103374,0
CONTROL_1,194.0,343910.5639806,-0.710132699355101,0.2065666876946443,0
CONTROL_1,195.0,343911.5639806,-0.1626745944995243,0.0419221666308776,0
CONTROL_1,196.0,343912.5639806,0.2346011689391541,-0.3426979836035816,0
CONTROL_1,197.0,343913.5639806,-0.5282952719471691,1.1670473747917316,0
CONTROL_1,198.0,343914.5639806,-0.906842928616744,2.7367345155148017,0
CONTROL_1,199.0,343915.5639806,-0.3841286748214939,0.6431263244233235,0
CONTROL_1,200.0,343916.5639806,0.1235514449450002,-0.5617019916361146,0
CONTROL_1,201.0,343917.5639806,-0.3116307181788421,-0.076519053602151,0
CONTROL_1,202.0,343918.5639806,-0.491032742138778,0.0718251650133629,0
CONTROL_1,203.0,343919.5639806,0.3213163750296261,-0.6437466461285238,0
CONTROL_1,204.0,343920.5639806,-1.1328309787178694,-0.4883536480759275,0
CONTROL_1,205.0,343921.5639806,-0.465000588557691,0.1123677166043894,0
CONTROL_1,206.0,343922.5639806,0.0507981842284428,0.3251527458613116,0
