eta_E,zeta_E,K,K_loop,loss,delta_loss
3.0,185.0,23.558437978779494,555.0,6.782435075287461,4.3721102889467
3.0,190.0,23.874672772626646,570.0,7.005746511723757,4.595421725382995
3.0,195.0,24.186773244895647,585.0,7.327230361841204,4.916905575500443
3.0,200.0,24.49489742783178,600.0,7.7467406209355225,5.336415834594761
3.0,205.0,24.79919353527449,615.0,8.26413934651832,5.853814560177558
3.0,210.0,25.099800796022265,630.0,8.879296010724303,6.468971224383542
3.0,215.0,25.39685019840059,645.0,9.592086919547032,7.181762133206271
3.0,220.0,25.69046515733026,660.0,10.402394690577125,7.992069904236364
3.0,225.0,25.98076211353316,675.0,11.310107782122127,8.899782995781365
3.0,230.0,26.267851073127396,690.0,12.315120067595732,9.90479528125497
3.0,235.0,26.551836094703507,705.0,13.417330449909999,11.007005663569238
3.0,240.0,26.832815729997478,720.0,14.61664251131764,12.206317724976877
3.25,120.0,19.748417658131498,390.0,10.953595544979692,8.54327075863893
3.25,125.0,20.155644370746373,406.25,9.903283499101786,7.492958712761024
3.25,130.0,20.554804791094465,422.5,8.954440421412405,6.544115635071644
3.25,135.0,20.946360065653412,438.75,8.10669336726882,5.696368580928058
3.25,140.0,21.330729007701542,455.0,7.3597007758694595,4.949375989528698
3.25,145.0,21.70829334609241,471.25,6.713148730715927,4.302823944375166
3.25,150.0,22.079402165819616,487.5,6.166747782908385,3.7564229965676237
3.25,155.0,22.44437568746344,503.75,5.720230236345525,3.3099054500047638
3.25,160.0,22.80350850198276,520.0,5.373347814698936,2.963023028358174
3.25,165.0,23.157072353818823,536.25,5.12586964602499,2.715544859684228
3.25,170.0,23.50531854708632,552.5,4.977580513287835,2.5672557269470735
3.25,175.0,23.84848003542364,568.75,4.928279328779688,2.5179545424389262
3.25,180.0,24.186773244895647,585.0,4.977777798086266,2.5674530117455046
3.25,185.0,24.520399670478458,601.25,5.125899245334294,2.7155744589935322
3.25,190.0,24.849547279578356,617.5,5.3724775763312325,2.962152789990471
3.25,195.0,25.17439175034821,633.75,5.717356360133195,3.3070315737924334
3.25,200.0,25.495097567963924,650.0,6.16038801275942,3.750063226418659
3.25,205.0,25.811818998280614,666.25,6.701433069366506,4.2911082830257445
3.25,210.0,26.124700955226263,682.5,7.340359533323237,4.930034746982476
3.25,215.0,26.433879775772606,698.75,8.07704229238028,5.666717506039519
3.25,220.0,26.739483914241877,715.0,8.911362593581941,6.50103780724118
3.25,225.0,27.04163456597992,731.25,9.843207569775682,7.432882783434921
3.25,230.0,27.340446228984632,747.5,10.87246981158642,8.462145025245658
3.25,235.0,27.636027210870957,763.75,11.999046979570705,9.588722193229945
3.25,240.0,27.92848008753788,780.0,13.222841451981765,10.812516665641002
3.5,120.0,20.493901531919196,420.0,9.43664477376189,7.026319987421128
3.5,125.0,20.91650066335189,437.5,8.408673940284155,5.998349153943393
3.5,130.0,21.330729007701542,455.0,7.482297848145836,5.071973061805075
3.5,135.0,21.737065119284157,472.5,6.657142224974423,4.246817438633662
3.5,140.0,22.135943621178654,490.0,5.93286419644718,3.5225394101064182
3.5,145.0,22.52776065213762,507.5,5.309148550716359,2.8988237643755976
3.5,150.0,22.9128784747792,525.0,4.785704564567449,2.375379778226687
3.5,155.0,23.29162939770423,542.5,4.362263290638664,1.9519385042979023
3.5,160.0,23.664319132398465,560.0,4.038575225766975,1.6282504394262132
3.5,165.0,24.031229681395832,577.5,3.8144082964730517,1.4040835101322902
3.5,170.0,24.392621835300936,595.0,3.68954610997372,1.2792213236329584
3.5,175.0,24.748737341529164,612.5,3.663786428796842,1.2534616424560805
3.5,180.0,25.099800796022265,630.0,3.7369398347154856,1.326615048374724
3.5,185.0,25.446021299998947,647.5,3.9088285537920413,1.4985037674512798
3.5,190.0,25.787593916455254,665.0,4.179285419184351,1.7689606328435898
3.5,195.0,26.124700955226263,682.5,4.54815295228282,2.137828165942058
3.5,200.0,26.457513110645905,700.0,5.015282545922618,2.6049577595818567
3.5,205.0,26.78619047195775,717.5,5.580533736004539,3.1702089496637775
3.5,210.0,27.110883423451916,735.0,6.243773549981195,3.8334487636404333
3.5,215.0,27.431733448690405,752.5,7.004875922415424,4.594551136074663
3.5,220.0,27.748873851023216,770.0,7.86372116926786,5.453396382927099
3.5,225.0,28.062430400804562,787.5,8.82019551377703,6.409870727436268
3.5,230.0,28.372521918222215,805.0,9.874190657804943,7.463865871464182
3.5,235.0,28.679260799399973,822.5,11.025603393367915,8.615278607027154
3.5,240.0,28.982753492378876,840.0,12.274335249787132,9.86401046344637
3.75,120.0,21.213203435596427,450.0,8.345615689950158,5.935290903609396
3.75,125.0,21.650635094610966,468.75,7.340849507085839,4.930524720745077
3.75,130.0,22.079402165819616,487.5,6.437775932429271,4.027451146088509
3.75,135.0,22.5,506.25,5.636020755366974,3.225695969026212
3.75,140.0,22.9128784747792,525.0,4.935241053770625,2.5249162674298633
3.75,145.0,23.318447632722037,543.75,4.335121477530718,1.9247966911899566
3.75,150.0,23.717082451262844,562.5,3.835371090408003,1.4250463040672416
3.75,155.0,24.109126902482387,581.25,3.435720670207369,1.0253958838666075
3.75,160.0,24.49489742783178,600.0,3.1359203878670114,0.7255956015262499
3.75,165.0,24.8746859276655,618.75,2.9357378018902223,0.5254130155494607
3.75,170.0,25.248762345905195,637.5,2.8349561168368913,0.4246313304961298
3.75,175.0,25.617376914898998,656.25,2.833372664211817,0.42304787787105536
3.75,180.0,25.98076211353316,675.0,2.930797571677018,0.5204727853362563
3.75,185.0,26.339134382131846,693.75,3.1270525925485018,0.7167278062077402
3.75,190.0,26.692695630078276,712.5,3.4219700723676203,1.0116452860268588
3.75,195.0,27.04163456597992,731.25,3.8153920332284352,1.4050672468876737
3.75,200.0,27.386127875258307,750.0,4.30716935969769,1.8968445733569288
3.75,205.0,27.726341266023542,768.75,4.89716107273696,2.4868362863961986
3.75,210.0,28.062430400804562,787.5,5.58523368014678,3.174908893806019
3.75,215.0,28.394541729001368,806.25,6.371260593791941,3.96093580745118
3.75,220.0,28.722813232690143,825.0,7.255121605308592,4.84479681896783
3.75,225.0,29.047375096555626,843.75,8.236702413193164,5.826377626852403
3.75,230.0,29.368350311176826,862.5,9.315894195176837,6.905569408836075
3.75,235.0,29.685855217594792,881.25,10.492593220631129,8.082268434290366
3.75,240.0,30.0,900.0,11.7667004984612,9.356375712120439
4.0,120.0,21.908902300206645,480.0,7.677404197649796,5.267079411309035
4.0,125.0,22.360679774997898,500.0,6.696660004976001,4.286335218635239
4.0,130.0,22.80350850198276,520.0,5.817680358350491,3.4073555720097293
4.0,135.0,23.2379000772445,540.0,5.040092405650178,2.6297676193094164
4.0,140.0,23.664319132398465,560.0,4.363554358041902,1.95322957170114
4.0,145.0,24.08318915758459,580.0,3.7877518067799953,1.3774270204392338
4.0,150.0,24.49489742783178,600.0,3.312394592742215,0.9020698064014536
4.0,155.0,24.899799195977465,620.0,2.9372141297772494,0.5268893434364879
4.0,160.0,25.298221281347036,640.0,2.661961103294884,0.2516363169541225
4.0,165.0,25.69046515733026,660.0,2.48640348118926,0.07607869484849861
4.0,170.0,26.076809620810597,680.0,2.4103247863407615,0.0
4.0,175.0,26.457513110645905,700.0,2.4335225894576737,0.02319780311691222
4.0,180.0,26.832815729997478,720.0,2.555807188527381,0.14548240218661945
4.0,185.0,27.202941017470888,740.0,2.7770004471160092,0.3666756607752477
4.0,190.0,27.568097504180443,760.0,3.096934768534245,0.6866099821934837
4.0,195.0,27.92848008753788,780.0,3.5154521867378596,1.1051274003970981
4.0,200.0,28.284271247461902,800.0,4.032403557954066,1.622078771613304
4.0,205.0,28.635642126552707,820.0,4.647647839571676,2.2373230532309147
4.0,210.0,28.982753492378876,840.0,5.361051444921774,2.9507266585810124
4.0,215.0,29.32575659723036,860.0,6.1724876642978215,3.76216287795706
4.0,220.0,29.664793948382652,880.0,7.08183614399113,4.671511357650369
4.0,225.0,30.0,900.0,8.088982416305468,5.6786576299647065
4.0,230.0,30.331501776206203,920.0,9.193817474508307,6.783492688167546
4.0,235.0,30.659419433511783,940.0,10.396237387510403,7.985912601169642
4.0,240.0,30.983866769659336,960.0,11.696142949769117,9.285818163428356
4.25,120.0,22.58317958127243,510.0,7.429326331524417,5.019001545183656
4.25,125.0,23.04886114323222,531.25,6.473381273004392,4.063056486663631
4.25,130.0,23.50531854708632,552.5,5.6192484656643735,3.208923679323612
4.25,135.0,23.95307913400697,573.75,4.866557632780673,2.456232846439912
4.25,140.0,24.392621835300936,595.0,4.214969227106322,1.8046444407655606
