trial_id,generator,generator_type,fold,model,raw_loss,K_hat_scaled,complexity_weight,selected_penalty,penalized_loss
294,colored_noise_null,null,3,generic_hidden_oscillator,1.061505705610286,0.10831971710164995,0.65,0.04,1.087505705610286
294,colored_noise_null,null,3,colored_noise_alt,1.0344476166391783,0.10831971710164995,0.5,0.04,1.0544476166391783
294,colored_noise_null,null,4,full_reciprocal,1.1355381202144972,0.10831971710164995,1.0,0.04,1.1755381202144972
294,colored_noise_null,null,4,eta_only,1.0474727906106887,0.10831971710164995,0.35,0.04,1.0614727906106887
294,colored_noise_null,null,4,zeta_only,0.9810361847939706,0.10831971710164995,0.35,0.04,0.9950361847939706
294,colored_noise_null,null,4,null_no_coupling,1.0723714062452845,0.10831971710164995,0.0,0.04,1.0723714062452845
294,colored_noise_null,null,4,replay_only_basis,1.2882960079575665,0.10831971710164995,0.25,0.04,1.2982960079575665
294,colored_noise_null,null,4,standard_ping,1.0507926992254968,0.10831971710164995,0.2,0.04,1.0587926992254968
294,colored_noise_null,null,4,sensory_drive_only,1.0128530487829315,0.10831971710164995,0.2,0.04,1.0208530487829315
294,colored_noise_null,null,4,generic_hidden_oscillator,1.1791026626266312,0.10831971710164995,0.65,0.04,1.2051026626266312
294,colored_noise_null,null,4,colored_noise_alt,1.1381484540419708,0.10831971710164995,0.5,0.04,1.1581484540419709
294,colored_noise_null,null,5,full_reciprocal,1.1809459355351763,0.10831971710164995,1.0,0.04,1.2209459355351764
294,colored_noise_null,null,5,eta_only,1.0552259710290317,0.10831971710164995,0.35,0.04,1.0692259710290317
294,colored_noise_null,null,5,zeta_only,1.0139065864472332,0.10831971710164995,0.35,0.04,1.0279065864472332
294,colored_noise_null,null,5,null_no_coupling,0.956695591009918,0.10831971710164995,0.0,0.04,0.956695591009918
294,colored_noise_null,null,5,replay_only_basis,1.1684111928465022,0.10831971710164995,0.25,0.04,1.1784111928465022
294,colored_noise_null,null,5,standard_ping,1.0625227215097848,0.10831971710164995,0.2,0.04,1.0705227215097848
294,colored_noise_null,null,5,sensory_drive_only,1.0796977962234071,0.10831971710164995,0.2,0.04,1.0876977962234071
294,colored_noise_null,null,5,generic_hidden_oscillator,1.0096002710171428,0.10831971710164995,0.65,0.04,1.0356002710171428
294,colored_noise_null,null,5,colored_noise_alt,1.0655188564875941,0.10831971710164995,0.5,0.04,1.0855188564875942
295,colored_noise_null,null,0,full_reciprocal,1.101622357736349,0.4309749289158967,1.0,0.04,1.1416223577363491
295,colored_noise_null,null,0,eta_only,1.0492757173215623,0.4309749289158967,0.35,0.04,1.0632757173215623
295,colored_noise_null,null,0,zeta_only,1.0343533000601253,0.4309749289158967,0.35,0.04,1.0483533000601253
