trial_id,generator,generator_type,K_true_scaled,K_hat_scaled,K_abs_error_scaled,full_fold_win_rate,dominant_model,full_predictive_win,K_threshold,K_significant_raw,K_interpreted_given_full_win,final_full_plus_K_lock,K_within_15_positive,K_within_10_positive
113,replay_only_null,null,0.0,0.02858997623011694,0.02858997623011694,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
114,replay_only_null,null,0.0,0.0033369598756593094,0.0033369598756593094,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
115,replay_only_null,null,0.0,0.048970104070026894,0.048970104070026894,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
116,replay_only_null,null,0.0,0.03450115184537602,0.03450115184537602,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
117,replay_only_null,null,0.0,0.051752882837769236,0.051752882837769236,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
118,replay_only_null,null,0.0,0.04510080546213464,0.04510080546213464,0.0,eta_only,False,0.21364432081692378,False,False,False,,
119,replay_only_null,null,0.0,0.0,0.0,0.0,eta_only,False,0.21364432081692378,False,False,False,,
120,replay_only_null,null,0.0,0.06296447248283714,0.06296447248283714,0.0,eta_only,False,0.21364432081692378,False,False,False,,
121,replay_only_null,null,0.0,0.06578931015008394,0.06578931015008394,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
122,replay_only_null,null,0.0,0.0728573302250953,0.0728573302250953,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
123,replay_only_null,null,0.0,0.07417355765266662,0.07417355765266662,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
124,replay_only_null,null,0.0,0.028925536668899923,0.028925536668899923,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
125,replay_only_null,null,0.0,0.05748230190194942,0.05748230190194942,0.0,generic_hidden_oscillator,False,0.21364432081692378,False,False,False,,
126,replay_only_null,null,0.0,0.09733330740211898,0.09733330740211898,0.0,colored_noise_alt,False,0.21364432081692378,False,False,False,,
127,replay_only_null,null,0.0,0.06568971099794116,0.06568971099794116,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
128,replay_only_null,null,0.0,0.07585287424821016,0.07585287424821016,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
129,replay_only_null,null,0.0,0.04473634305966285,0.04473634305966285,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
130,replay_only_null,null,0.0,0.013072643310398036,0.013072643310398036,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
131,replay_only_null,null,0.0,0.030223535405677595,0.030223535405677595,0.0,eta_only,False,0.21364432081692378,False,False,False,,
132,replay_only_null,null,0.0,0.05458586712307196,0.05458586712307196,0.0,generic_hidden_oscillator,False,0.21364432081692378,False,False,False,,
133,replay_only_null,null,0.0,0.061409858718092014,0.061409858718092014,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
134,replay_only_null,null,0.0,0.065057232178175,0.065057232178175,0.0,eta_only,False,0.21364432081692378,False,False,False,,
135,replay_only_null,null,0.0,0.04674136369441628,0.04674136369441628,0.0,eta_only,False,0.21364432081692378,False,False,False,,
136,replay_only_null,null,0.0,0.047590623680792636,0.047590623680792636,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
137,replay_only_null,null,0.0,0.044181850590677356,0.044181850590677356,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
