generator,trial,seed,fold_condition,model,loss
full_reciprocal_positive_control,5,930005,counterphase,colored_noise_ar,0.15045471497222576
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,full_reciprocal,0.0990734283109177
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,eta_only,0.07780315968941133
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,zeta_only,0.09758078004660904
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,null_no_coupling,0.6261895488668296
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,standard_ping,0.09633760812808245
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,replay_only_basis,0.10152391515979915
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,sensory_drive_only,0.5272902382783882
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,generic_hidden_tuned,0.10168044962149181
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,colored_noise_ar,0.08416139404353021
full_reciprocal_positive_control,5,930005,recovery_probe,full_reciprocal,0.1766891319091296
full_reciprocal_positive_control,5,930005,recovery_probe,eta_only,0.1117330153545348
full_reciprocal_positive_control,5,930005,recovery_probe,zeta_only,0.14415851542672511
full_reciprocal_positive_control,5,930005,recovery_probe,null_no_coupling,0.7012262194134199
full_reciprocal_positive_control,5,930005,recovery_probe,standard_ping,0.19890478604538386
full_reciprocal_positive_control,5,930005,recovery_probe,replay_only_basis,0.25921444501671276
full_reciprocal_positive_control,5,930005,recovery_probe,sensory_drive_only,0.6705457446563099
full_reciprocal_positive_control,5,930005,recovery_probe,generic_hidden_tuned,0.2648155237291711
full_reciprocal_positive_control,5,930005,recovery_probe,colored_noise_ar,0.1618672722844707
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,full_reciprocal,0.245924927553056
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,eta_only,0.31005861966704246
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,zeta_only,0.3784830099965134
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,null_no_coupling,0.9996103644358174
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,standard_ping,0.3345624521707774
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,replay_only_basis,0.3847303250352395
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,sensory_drive_only,0.9430457506223304
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,generic_hidden_tuned,0.4025244875463065
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,colored_noise_ar,0.31924930329273427
full_reciprocal_positive_control,6,930006,doublet_EY,full_reciprocal,0.08056206804384265
full_reciprocal_positive_control,6,930006,doublet_EY,eta_only,0.09210705537808767
full_reciprocal_positive_control,6,930006,doublet_EY,zeta_only,0.09649662271215233
full_reciprocal_positive_control,6,930006,doublet_EY,null_no_coupling,0.6014151441311083
full_reciprocal_positive_control,6,930006,doublet_EY,standard_ping,0.12350295143619915
full_reciprocal_positive_control,6,930006,doublet_EY,replay_only_basis,0.14011084000808505
full_reciprocal_positive_control,6,930006,doublet_EY,sensory_drive_only,0.5520696767965092
full_reciprocal_positive_control,6,930006,doublet_EY,generic_hidden_tuned,0.12143399430917787
full_reciprocal_positive_control,6,930006,doublet_EY,colored_noise_ar,0.08319588380497142
full_reciprocal_positive_control,6,930006,orthogonal_trap,full_reciprocal,0.1949703878895913
full_reciprocal_positive_control,6,930006,orthogonal_trap,eta_only,0.22097244532126087
full_reciprocal_positive_control,6,930006,orthogonal_trap,zeta_only,0.22456995741414273
full_reciprocal_positive_control,6,930006,orthogonal_trap,null_no_coupling,0.715080350976332
full_reciprocal_positive_control,6,930006,orthogonal_trap,standard_ping,0.3606569242149129
