generator,trial,seed,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated
generic_hidden_oscillator_null,1,970001,0.03981518146569702,1.0,0.14406309914855522,0.09534431750584871,False
generic_hidden_oscillator_null,2,970002,0.07162907495721103,0.1,0.06832973307761826,0.06631799597769295,True
generic_hidden_oscillator_null,3,970003,0.010622672879192956,1.0,0.10523224149867144,0.06476087737817231,False
generic_hidden_oscillator_null,4,970004,0.0664409356268564,0.8,0.16839335489704824,0.0847022703775207,False
generic_hidden_oscillator_null,5,970005,0.05145587988427899,0.7,0.1346969995273006,0.06522546649534167,False
generic_hidden_oscillator_null,6,970006,0.00127748824088158,1.0,0.08134356495891663,0.0316130210637204,False
generic_hidden_oscillator_null,7,970007,0.05724097015928047,0.5,0.09247908470980476,0.05248140638159928,False
generic_hidden_oscillator_null,8,970008,0.04827153728539375,0.5,0.13918569847531045,0.047357795696049206,False
generic_hidden_oscillator_null,9,970009,0.13787937817409748,0.1,0.08653827505859167,0.02423485082216635,True
generic_hidden_oscillator_null,10,970010,0.07130220458474126,0.8,0.08508947430043452,0.08452708235753223,False
generic_hidden_oscillator_null,11,970011,0.04545797991741872,0.9,0.13774934695516913,0.06496157515987251,False
generic_hidden_oscillator_null,12,970012,0.08565653112423151,0.4,0.10448320435197869,0.04115421685901197,False
generic_hidden_oscillator_null,13,970013,0.03825783192003289,0.9,0.13779109842378282,0.05786927284326824,False
generic_hidden_oscillator_null,14,970014,0.10378712718370352,0.5,0.20955821952638398,0.08992092427700465,False
generic_hidden_oscillator_null,15,970015,0.022343851728192605,0.4,0.05165498754209445,0.01601023327552146,False
generic_hidden_oscillator_null,16,970016,0.05855444608430194,1.0,0.13698252592333052,0.10547353850257293,False
generic_hidden_oscillator_null,17,970017,0.015072899220652006,0.9,0.08572969551602552,0.038810089201518835,False
generic_hidden_oscillator_null,18,970018,0.06192637597499719,0.5,0.13869545856983478,0.04331274304041443,False
generic_hidden_oscillator_null,19,970019,0.06672237071538738,0.2,0.08606707223158971,0.044437926818700686,False
generic_hidden_oscillator_null,20,970020,0.046037266153510906,0.8,0.1852592857798746,0.10868240424155758,False
colored_noise_null,1,980001,0.8917741201039393,0.1,0.39984062271310433,0.23140896153097246,True
colored_noise_null,2,980002,0.8884916741268912,0.1,0.5857833552564633,0.15282550997680075,True
colored_noise_null,3,980003,0.5720272850526481,0.1,0.14689476834014115,0.05205719009560849,True
colored_noise_null,4,980004,0.8100192871905465,0.1,0.13086871122616753,0.08792953826768041,True
colored_noise_null,5,980005,0.7023229551385191,0.1,0.292829288176904,0.2860579814550073,True
colored_noise_null,6,980006,0.8652444080383387,0.1,0.31185844963388243,0.27039245803140693,True
colored_noise_null,7,980007,0.7941751685526804,0.1,0.0729111327059983,0.0381050708835436,True
colored_noise_null,8,980008,0.5400396850130457,0.1,0.09810720629872483,0.0905892378288015,True
colored_noise_null,9,980009,0.8254464508442437,0.1,0.38019583824727876,0.2147129164138973,True
colored_noise_null,10,980010,0.7640623299227869,0.1,0.35616411384161073,0.23366942665274285,True
