condition,time_sec,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor
control,84.0,0.0390386531135965,2.475723282541284,1.9957326107992897,3.413401346494974,1.0,1.0,0.3124666898980238,0.1004048256817652,0.0,0.0,0.0,-6.858022075225178e-15,1.0,0.0
control,84.25,0.038176784651453,1.589920596608914,1.3073998189205291,5.114950223046844,0.0,0.0,0.3386022988808707,0.1564942868097966,0.0,0.0,0.0,0.4999999999999843,0.8660254037844477,0.0
control,84.5,0.1558819038737991,0.4547057095884464,0.1048249489552798,4.029947409076619,0.0,0.0,0.2654008740068682,-0.2710528089755845,0.0,0.0,0.0,0.8660254037844239,0.5000000000000254,0.0
control,84.75,0.0837475768358767,0.2429627720342707,0.0784733283614678,2.291499841621643,0.0,0.0,0.1666553422718416,-0.3809947740094967,0.0,0.0,0.0,1.0,1.2248324933383295e-14,0.0
control,85.0,0.0504811557371015,0.9904470169699416,0.892614032784738,3.5275393985275723,0.0,0.0,0.095180036514592,-0.2636235835729936,0.0,0.0,0.0,0.8660254037844504,-0.4999999999999796,0.0
control,85.25,0.1178851064538591,2.3976425484807207,1.715867680711879,1.2537101759764386,0.0,1.0,0.1823315594085904,0.4191070886677306,1.0,1.0,9.0,0.5000000000000056,-0.8660254037844355,0.0
control,85.5,0.1677428549291602,0.6713331155730137,0.5009103659444407,1.1499077334410108,0.0,0.0,0.18256221914478,0.0449992543243632,1.0,0.0,9.0,1.7638627791541416e-14,-1.0,0.0
control,85.75,0.1501964911820767,1.9342584976538524,1.2147509257922346,2.0925202931555087,0.0,0.0,0.093265755981913,-0.3403259351177945,1.0,0.0,9.0,-0.4999999999999749,-0.8660254037844531,0.0
control,86.0,0.1650381164413488,2.633890319542546,2.053458591494268,1.2706864360344114,0.0,1.0,-0.0209752743615796,-0.4476874783371012,1.0,0.0,9.0,-0.8660254037844327,-0.5000000000000102,0.0
control,86.25,0.2232961790425556,-0.2747667837652164,-0.3942880869088949,5.109801677589565,0.0,0.0,-0.1230366613877604,-0.3952662319414953,0.0,0.0,0.0,-1.0,-2.302893064969953e-14,0.0
control,86.5,0.332002592387299,1.4975082453676711,1.1598508186046934,1.7529113722186662,0.0,0.0,-0.1306701214402239,0.0111520430074617,0.0,0.0,0.0,-0.8660254037844416,0.4999999999999949,0.0
control,86.75,0.2880868987234274,0.5185120255965189,0.6602903478151767,1.7270227253800186,0.0,0.0,-0.1176226621874586,0.100162824221891,0.0,0.0,0.0,-0.5000000000000149,0.86602540378443,0.0
control,87.0,0.2746413824513897,0.7325442473888989,0.6488137738569187,3.649274682999633,0.0,0.0,-0.188328634490477,-0.2603123684976464,0.0,0.0,0.0,-2.841923350785765e-14,1.0,0.0
control,87.25,0.3232074103956181,2.019527657839685,1.3923451145297894,5.261673583664284,1.0,1.0,-0.1737357202420556,0.1068144703341758,0.0,0.0,0.0,0.4999999999999902,0.8660254037844443,0.0
control,87.5,0.3646709387915109,2.927422466594564,2.2681245350987456,2.2244197363796854,0.0,1.0,-0.0621204255729027,0.524399286031871,0.0,0.0,0.0,0.8660254037844274,0.5000000000000195,0.0
control,87.75,0.4690533879841351,0.8801997894461943,0.8981026202379541,1.8713526121962447,0.0,0.0,0.1107992220045888,0.7882535307915163,0.0,0.0,0.0,1.0,3.3809536366015776e-14,0.0
control,88.0,0.5107501587901894,1.6067708942434562,1.312789791701695,3.8283474508774966,0.0,1.0,0.2729050181130326,0.7417106594137727,0.0,0.0,0.0,0.8660254037844469,-0.4999999999999855,0.0
control,88.25,0.5282969891917865,1.77626204098331,1.1604253175854682,2.546693926572887,0.0,0.0,0.4334075222403113,0.7348100826235404,1.0,1.0,1.0,0.5000000000000242,-0.8660254037844247,0.0
control,88.5,0.636193435433965,0.5657349449997721,0.2095864981063528,4.989955977010059,0.0,0.0,0.6724640980451204,1.0729072041486662,1.0,0.0,1.0,1.0778129793769884e-14,-1.0,0.0
control,88.75,0.6620650258420492,0.4650642364672315,0.0589928124615223,3.1962421943398707,0.0,0.0,0.7771580543356105,0.4946098106685381,1.0,0.0,1.0,-0.4999999999999809,-0.8660254037844497,0.0
control,89.0,0.717131452907574,-0.4640242060353851,-0.6085204562142755,3.121461987472679,0.0,0.0,0.8905370078549445,0.5319900826368691,1.0,0.0,1.0,-0.866025403784422,-0.5000000000000289,0.0
control,89.25,0.7604193392115925,0.0031740838220412,-0.1186289785275307,8.164193060668355,1.0,0.0,1.0277014300991123,0.6343628602441745,0.0,0.0,0.0,-1.0,-1.6168432651928003e-14,0.0
control,89.5,0.8427019022094269,1.038590980630255,1.1427076158793603,4.647987137193942,0.0,0.0,1.0107849861889606,-0.0288019664337353,0.0,0.0,0.0,-0.8660254037844524,0.4999999999999762,0.0
control,89.75,0.8079710344029725,0.3936124368940727,0.2305580031790776,3.4495667121639344,0.0,0.0,0.964563128788089,-0.1549326142121141,0.0,0.0,0.0,-0.5000000000000089,0.8660254037844335,0.0
control,90.0,0.8452025288415174,-0.3920363817668396,-0.4864480221323374,4.79324836696717,0.0,0.0,0.9547363342277568,0.0017119202001268,0.0,0.0,0.0,-2.155873551008612e-14,1.0,0.0
control,90.25,0.1098060493517028,0.7055780507903049,0.3823544825074952,3.000250010270319,0.0,0.0,1.0288052589695509,0.3627995200990666,0.0,0.0,0.0,0.4999999999999716,0.866025403784455,0.0
control,90.5,-0.0844137696925402,-0.4341480147466885,-0.4059194738219978,-0.5757439317921278,0.0,0.0,1.2647747287449005,1.0596202841951383,0.0,0.0,0.0,0.8660254037844308,0.5000000000000135,0.0
control,90.75,-0.1063624136806957,0.6752717175165085,0.952602472240316,0.289993402545658,0.0,0.0,1.285406812819265,0.1328070877879794,0.0,0.0,0.0,1.0,2.694903836824424e-14,0.0
control,91.0,-0.0976568888967315,-0.6436716353627108,-0.5673548684174013,0.526929843507785,0.0,0.0,1.1094310966204897,-0.7133938782753659,0.0,0.0,0.0,0.8660254037844436,-0.4999999999999915,0.0
control,91.25,-0.0825242483566327,-0.327096347850256,-0.3011555533630267,-0.3267824241105863,0.0,0.0,1.1153177520333175,0.0693426883029363,1.0,1.0,5.0,0.5000000000000182,-0.8660254037844282,0.0
